time,catalogue_1,front-end_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,user_10,user_11,orders_12,payment_13,orders_14,shipping_15,queue-master_16,queue-master_17,queue-master_18,queue-master_19,queue-master_20,front-end_21,front-end_22,front-end_23,user_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,catalogue_32,payment_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,user_48,carts_49,user_50
1705679145,4,4,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
1705679160,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0
1705679175,11,11,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,17,17,17,17,17,17,17,17,17,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0
1705679190,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0
1705679205,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0
1705679220,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,13,13,13,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0
1705679235,12,12,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,20,20,20,20,20,20,20,20,20,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,0,0
1705679250,14,14,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,11,11,11,11,11,11,11,11,11,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,14,10,23,0
1705679265,18,18,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,17,17,17,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0
1705679280,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,69,0
1705679295,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0
1705679310,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,19,19,19,19,19,19,19,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0
1705679325,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,16,16,16,16,16,16,16,16,16,10,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,23,0
1705679340,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,10,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,10,0,0
1705679355,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,9,9,9,9,9,9,9,10,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,0,0
1705679370,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0
1705679385,13,13,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,21,21,21,21,21,21,21,21,21,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0
1705679400,12,12,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0
1705679415,20,20,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0
1705679430,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,18,18,18,18,18,18,18,18,18,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,46,0
1705679445,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,14,14,14,14,10,10,14,14,14,13,13,13,13,13,13,13,13,13,13,13,10,0,0
1705679460,14,14,16,63,48,16,16,16,16,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,14,15,15,15,15,10,10,17,17,17,18,18,18,18,18,18,18,18,18,18,18,10,23,0
1705679475,19,19,16,65,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,14,14,14,14,14,14,14,14,14,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0
1705679490,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0
1705679505,13,13,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0
1705679520,16,16,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,46,0
1705679535,18,18,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0
1705679550,15,15,18,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,9,9,9,9,9,9,9,9,9,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0
1705679565,13,13,11,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,18,18,18,18,18,18,18,18,18,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0
1705679580,12,12,14,55,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,19,19,18,18,18,18,18,18,18,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,23,0
1705679595,19,19,23,93,71,23,23,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,10,11,11,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,23,0
1705679610,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,20,20,20,20,19,19,19,19,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0
1705679625,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,14,14,14,14,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0
1705679640,18,18,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705679655,12,12,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,20,20,20,20,20,20,20,20,20,10,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,23,0
1705679670,17,17,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,12,12,12,12,12,12,12,12,12,10,10,13,13,13,13,13,13,13,12,12,12,12,12,12,12,10,0,0
1705679685,15,15,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,15,15,15,15,15,15,15,15,10,10,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,0,0
1705679700,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,10,10,15,15,15,15,15,15,15,14,14,14,14,14,14,14,10,0,0
1705679715,19,19,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,11,11,11,11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,13,13,13,13,13,13,13,10,0,0
1705679730,18,18,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,18,18,18,18,18,18,18,18,18,10,10,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,0,0
1705679745,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,15,15,15,15,15,15,15,15,15,10,10,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,0,0
1705679760,16,16,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0
1705679775,15,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0
1705679790,16,16,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,17,17,17,17,17,17,17,17,17,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0
1705679805,9,9,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,21,21,21,21,21,21,21,21,21,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,46,0
1705679820,20,20,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,9,9,9,9,9,9,9,9,9,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0
1705679835,19,19,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,17,17,17,10,10,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,0,0
1705679850,7,7,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,10,10,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,0,0
1705679865,22,22,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0
1705679880,8,8,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0
1705679895,19,19,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,11,11,11,11,11,11,11,11,11,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0
1705679910,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,7,7,7,7,7,6,6,6,6,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,23,0
1705679925,14,14,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,23,23,23,23,23,24,24,24,24,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0
1705679940,6,6,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,46,0
1705679955,27,27,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,8,8,8,10,0,0
1705679970,10,10,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,22,22,22,22,22,22,22,22,22,10,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,0,0
1705679985,8,8,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,17,17,17,17,17,17,17,17,17,10,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,46,0
1705680000,24,24,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0
1705680015,16,16,13,51,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,21,21,21,21,21,21,21,21,10,10,14,14,14,14,14,14,14,13,13,13,13,13,13,13,10,46,1
1705680030,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,9,9,9,9,9,9,9,9,9,10,10,15,15,15,15,15,15,15,16,16,16,16,16,16,16,10,0,0
1705680045,15,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,22,22,22,22,22,22,22,22,22,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0
1705680060,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,15,15,15,15,15,15,15,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0
1705680075,23,23,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,9,9,9,9,9,9,9,9,9,10,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,10,0,0
1705680090,15,15,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,17,17,17,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,23,0
1705680105,9,9,14,53,40,14,14,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,20,20,20,20,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0
1705680120,17,17,21,81,61,21,21,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0
1705680135,18,18,11,50,37,11,11,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,20,20,20,20,20,19,19,19,19,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0
1705680150,8,8,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,15,15,15,15,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,23,0
1705680165,20,20,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,13,13,13,13,13,13,13,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,69,0
1705680180,17,17,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,16,16,16,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0
1705680195,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,18,18,18,18,18,18,18,18,18,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0
1705680210,17,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,22,22,22,22,22,22,22,22,22,10,10,21,21,21,21,21,21,20,20,20,20,20,20,20,19,10,0,0
1705680225,14,14,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,18,18,18,18,18,18,18,19,10,46,0
1705680240,21,21,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,11,11,11,11,11,11,11,10,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,23,0
1705680255,15,15,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,22,22,22,22,22,22,22,22,22,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0
1705680270,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0
1705680285,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0
1705680300,20,20,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,18,18,18,18,18,18,18,18,18,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0
1705680315,8,8,16,61,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,22,22,22,22,22,22,22,22,22,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,23,10,23,0
1705680330,18,18,22,91,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,8,8,8,8,8,8,8,8,8,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,0,0
1705680345,24,24,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,19,19,19,19,19,19,19,19,19,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
1705680360,5,5,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,10,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0
1705680375,20,20,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,16,16,16,16,16,16,16,16,16,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0
1705680390,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,10,10,17,17,17,17,16,16,16,16,16,16,16,16,16,16,10,23,0
1705680405,14,14,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,10,10,15,15,15,15,16,16,16,16,16,16,16,16,16,16,10,23,0
1705680420,20,20,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0
1705680435,12,12,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,46,0
1705680450,12,12,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,19,19,19,19,19,19,19,19,19,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,23,0
1705680465,17,17,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0
1705680480,21,21,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,9,9,9,9,9,9,9,9,9,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,0,0
1705680495,7,7,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,29,29,29,29,29,29,29,29,29,10,10,21,21,21,21,21,21,20,20,20,20,20,20,20,20,10,0,0
1705680510,14,14,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,10,10,10,10,10,10,10,10,10,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,92,0
1705680525,25,25,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0
1705680540,13,13,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,17,17,17,17,17,17,17,17,17,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0
1705680555,8,8,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,20,20,20,20,20,19,19,19,19,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,19,10,23,0
1705680570,16,16,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,11,11,11,11,11,12,12,12,12,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,23,0
1705680585,13,13,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,7,7,7,7,7,7,7,7,8,8,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,23,0
