time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,catalogue_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,user_22,user_23,orders_24,payment_25,orders_26,shipping_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,front-end_33,front-end_34,catalogue_35,payment_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,user_46,catalogue_47,front-end_48,carts_49,user-db_50,carts_51
1705722810,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,8,8,8,8,8,8,8,8,8,8,8,6,9,9,23,0,0
1705722825,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,20,20,20,20,20,20,20,20,20,10,15,15,0,0,0
1705722840,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,15,15,15,15,15,15,15,15,15,10,13,13,46,0,0
1705722855,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,12,12,12,12,12,12,12,12,12,10,18,18,23,0,0
1705722870,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,13,13,13,13,13,13,13,13,13,10,19,19,0,0,0
1705722885,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,21,21,21,21,21,21,21,21,21,10,14,14,0,0,0
1705722900,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,13,13,13,13,13,13,13,10,9,9,23,0,0
1705722915,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,11,11,11,11,11,11,11,11,11,10,20,20,23,0,0
1705722930,9,9,9,9,9,9,9,9,9,9,9,9,9,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,14,14,14,14,13,13,13,13,10,14,14,0,0,0
1705722945,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,20,20,20,20,20,21,21,21,21,10,13,13,46,0,0
1705722960,21,21,21,21,21,21,20,20,20,20,20,20,20,20,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,14,14,14,14,14,14,14,14,10,12,12,23,0,0
1705722975,12,12,12,12,12,12,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,15,15,15,15,15,15,15,15,15,10,18,18,0,0,0
1705722990,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,10,10,10,10,10,10,10,10,10,10,17,17,0,0,0
1705723005,16,16,16,16,16,16,16,16,16,16,16,16,16,15,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,16,16,16,16,16,16,16,10,12,12,0,0,0
1705723020,13,13,13,13,13,13,13,13,13,13,13,13,13,14,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,18,18,18,18,18,18,18,18,18,10,12,12,0,0,0
1705723035,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,15,15,15,15,15,15,15,10,16,16,0,0,0
1705723050,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,13,13,13,13,10,16,16,0,0,0
1705723065,10,10,10,10,10,10,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,14,14,14,14,14,14,14,14,14,10,15,15,0,0,0
1705723080,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,17,17,17,17,17,17,17,17,17,10,19,19,0,0,0
1705723095,15,15,15,15,15,15,15,15,15,15,15,15,15,15,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,12,12,12,12,12,12,12,12,12,10,10,10,69,0,0
1705723110,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,59,45,15,15,15,15,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,15,15,15,15,15,15,15,10,18,18,0,0,0
1705723125,16,16,16,16,16,16,16,16,16,16,16,16,16,16,12,49,36,12,12,12,12,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,14,14,14,14,14,14,14,14,10,12,12,0,0,0
1705723140,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,10,15,15,0,0,0
1705723155,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,12,12,12,12,12,12,12,10,15,15,46,0,0
1705723170,10,10,10,10,10,10,9,9,9,9,9,9,9,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,16,16,16,16,16,16,16,16,16,10,15,15,0,0,0
1705723185,18,18,18,18,18,18,19,19,19,19,19,19,19,19,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,19,19,19,19,19,19,19,19,19,10,11,11,23,0,0
1705723200,24,24,24,24,24,24,24,24,24,24,24,24,24,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,16,16,16,16,16,16,16,10,14,14,69,0,0
1705723215,8,8,8,8,8,8,8,8,8,8,8,8,8,9,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,10,10,10,10,10,10,10,10,10,10,22,22,0,0,0
1705723230,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,17,17,17,17,17,17,17,10,13,13,0,0,0
1705723245,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,15,15,15,15,15,15,15,15,15,10,12,12,23,0,0
1705723260,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,18,18,18,18,18,18,18,18,18,10,15,15,23,0,0
1705723275,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,11,11,11,10,18,18,23,0,0
1705723290,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,14,14,14,14,14,14,14,14,14,10,13,13,46,0,0
1705723305,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,18,18,18,18,18,18,18,18,18,10,15,15,23,0,0
1705723320,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,14,14,14,14,14,14,14,14,14,10,15,15,0,0,0
1705723335,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,16,16,16,16,16,16,16,10,18,18,0,0,0
1705723350,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,16,16,16,16,16,16,16,10,12,12,0,0,0
1705723365,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,13,13,13,13,13,13,13,10,15,15,0,0,0
1705723380,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,15,15,15,10,17,16,0,0,0
1705723395,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,18,18,18,18,18,18,18,18,18,10,16,17,23,0,0
1705723410,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,14,14,14,14,14,14,14,10,14,14,0,0,0
1705723425,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,12,12,12,12,12,12,12,12,12,10,15,15,23,0,0
1705723440,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,10,16,16,0,0,0
1705723455,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,10,13,13,69,0,0
1705723470,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,19,19,19,19,19,19,19,10,12,12,23,0,0
1705723485,15,15,15,15,15,15,14,14,14,14,14,14,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,13,13,13,13,13,13,13,10,18,18,0,0,0
1705723500,10,10,10,10,10,10,11,11,11,11,11,11,11,11,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,16,16,16,16,16,16,16,10,16,16,0,0,0
1705723515,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,17,17,17,17,17,17,17,17,17,10,16,16,69,0,0
1705723530,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,18,18,18,18,18,18,18,18,18,10,17,17,0,0,0
1705723545,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,10,10,10,10,16,16,23,0,0
1705723560,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,18,18,18,18,18,18,18,18,18,10,15,15,0,0,0
1705723575,21,21,21,21,21,21,21,21,21,21,21,21,21,21,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,19,19,19,19,19,19,19,19,19,10,14,14,0,0,0
1705723590,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,10,10,10,10,10,10,10,10,10,10,14,14,23,1,0
1705723605,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,10,10,20,20,0,0,0
1705723620,17,17,17,17,17,17,17,17,17,17,17,17,17,16,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,22,22,22,22,22,22,22,22,22,10,11,11,0,0,1
1705723635,17,17,17,17,17,17,16,16,16,16,16,16,16,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,17,17,17,17,17,17,17,17,17,10,12,12,0,0,0
1705723650,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,11,11,11,11,11,11,11,11,11,10,22,22,46,0,0
1705723665,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,12,12,12,12,12,12,12,12,12,10,14,14,0,0,0
1705723680,19,19,19,19,19,19,19,19,19,19,18,18,18,18,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,22,22,22,22,22,22,22,22,22,10,15,15,0,0,0
1705723695,20,20,20,20,20,20,20,20,20,20,21,21,21,21,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,16,16,16,16,16,16,16,16,16,10,10,10,23,0,0
1705723710,13,13,13,13,13,13,12,12,12,12,12,12,12,12,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,12,12,12,12,12,12,12,12,12,10,18,18,23,0,0
1705723725,9,9,9,9,9,9,10,10,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,10,21,21,0,0,0
1705723740,27,27,27,27,27,27,27,27,27,27,27,27,27,27,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,20,20,20,20,20,20,20,20,20,10,11,11,69,0,0
1705723755,12,12,12,12,12,12,11,11,11,11,11,11,11,11,27,108,81,27,27,27,27,27,27,27,27,27,27,27,27,78,78,26,52,26,10,10,11,11,11,11,11,11,11,11,11,10,13,13,0,0,0
1705723770,13,13,13,13,13,13,14,14,14,14,14,14,14,14,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,36,36,12,24,12,10,10,17,17,17,17,17,17,17,17,17,10,23,23,0,0,0
1705723785,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,53,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,16,16,16,16,16,16,16,16,16,10,11,11,23,0,0
1705723800,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,17,17,17,17,17,17,17,10,14,14,0,0,0
1705723815,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,11,11,11,11,11,11,11,11,11,10,20,20,23,0,0
1705723830,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,16,16,16,16,16,16,16,16,16,10,15,15,0,0,0
1705723845,25,25,25,25,25,25,25,25,25,24,24,24,24,24,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,15,10,10,23,23,23,23,23,23,23,23,23,10,8,8,0,0,0
1705723860,12,12,12,12,12,12,12,12,12,13,13,13,13,13,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,23,10,10,8,8,8,8,8,8,8,8,8,10,18,18,23,0,0
1705723875,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,12,12,12,12,12,12,12,12,12,10,19,19,23,0,0
1705723890,20,20,20,20,20,20,20,20,20,20,20,20,20,20,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,21,21,21,21,21,21,21,21,21,10,13,13,0,0,0
1705723905,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,18,18,18,18,18,18,18,18,18,10,14,14,23,0,0
1705723920,13,13,13,13,13,13,13,13,13,13,13,13,13,13,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,14,14,14,14,14,14,14,14,14,10,20,20,0,0,0
1705723935,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,18,18,18,18,18,18,18,18,18,10,14,14,69,0,0
1705723950,16,16,16,16,16,16,16,16,16,16,16,16,16,15,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,13,13,13,13,13,13,13,13,13,10,16,16,0,0,0
1705723965,18,18,18,18,18,18,18,18,18,16,16,16,16,17,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,18,18,18,18,18,18,18,18,18,10,18,18,0,0,0
1705723980,17,17,17,17,17,17,17,17,17,19,19,19,19,19,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,19,19,19,19,19,19,19,10,16,16,0,0,0
1705723995,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,11,11,11,11,11,11,11,11,11,10,14,14,0,0,0
1705724010,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,17,17,17,17,17,17,17,10,18,18,0,0,0
1705724025,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,15,15,15,15,15,15,15,15,15,10,12,12,23,0,0
1705724040,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,9,9,9,9,9,9,9,9,9,10,19,19,0,0,0
1705724055,16,16,16,16,16,16,16,16,16,15,15,15,15,15,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,22,22,22,22,22,22,22,22,22,10,15,15,23,0,0
1705724070,15,15,15,15,15,15,15,15,15,16,16,16,16,16,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,15,15,15,10,9,9,23,0,0
1705724085,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,8,8,8,8,8,8,8,8,8,10,20,20,0,0,0
1705724100,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,23,23,23,23,23,22,22,22,22,10,14,14,0,0,0
1705724115,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,16,16,16,17,17,17,17,10,16,16,0,0,0
1705724130,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,9,9,9,9,9,9,9,9,9,10,15,15,23,0,0
1705724145,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,10,19,19,23,0,0
1705724160,13,13,13,13,13,13,13,13,13,13,13,12,12,13,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,20,19,19,19,19,19,19,19,19,10,11,11,0,0,0
1705724175,19,19,19,19,19,19,19,19,19,19,19,20,20,20,12,45,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,17,17,17,17,17,17,17,17,10,13,13,0,0,0
1705724190,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,75,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,12,12,12,12,12,12,12,12,12,10,16,16,0,0,0
1705724205,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,15,15,15,15,15,14,14,14,14,10,19,19,23,0,0
1705724220,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,20,20,20,20,20,21,21,21,21,10,16,16,0,0,0
1705724235,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,10,10,10,10,10,10,10,10,14,14,23,0,0
1705724250,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,2,2,7,7,7,7,7,7,7,7,7,4,4,4,0,0,0
