time,catalogue_1,payment_2,user_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,catalogue_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,user_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,catalogue_34,front-end_35,front-end_36,front-end_37,carts_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,user_46,user_47,orders_48,payment_49,orders_50,shipping_51,queue-master_52,queue-master_53,queue-master_54,queue-master_55,queue-master_56,front-end_57,front-end_58,user_59,user_60,user_61
1705600020,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600035,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600050,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600065,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600080,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600095,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600110,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600125,10,10,10,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600140,10,10,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600155,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600170,10,10,10,0,0,0,0,0,0,0,0,0,50,50,11,11,11,11,11,11,11,11,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705600185,10,10,10,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,22,22,22,22,22,22,22,22,22,22,22,22,22,22,69,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,0,0,0
1705600200,10,10,10,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,0,0
1705600215,10,10,10,0,0,0,0,0,0,0,0,0,26,26,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705600230,10,10,10,0,0,0,0,0,0,0,0,0,12,12,19,19,19,19,19,19,19,19,19,13,12,12,12,12,12,12,12,12,12,12,12,12,12,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705600245,10,10,10,0,0,0,0,0,0,0,0,0,14,14,11,11,11,11,11,11,11,11,11,18,19,19,19,19,19,19,19,19,19,19,19,19,19,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705600260,10,10,10,0,0,0,0,0,0,0,0,0,18,18,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705600275,10,10,10,0,0,0,0,0,0,0,0,0,10,10,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705600290,10,10,10,0,0,0,0,0,0,0,0,0,19,19,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705600305,10,10,10,0,0,0,0,0,0,0,0,0,11,11,18,18,18,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,50,50,16,32,16,0,0,0
1705600320,10,10,10,0,0,0,0,0,0,0,0,0,20,20,11,11,11,11,11,12,12,12,12,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,20,77,58,20,20,19,19,19,19,19,19,19,19,19,19,58,58,20,40,20,0,0,0
1705600335,10,10,10,0,0,0,0,0,0,0,0,0,19,19,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,10,43,32,10,10,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705600350,10,10,10,0,0,0,0,0,0,0,0,0,11,11,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705600365,10,10,10,0,0,0,0,0,0,0,0,0,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705600380,10,10,10,0,0,0,0,0,0,0,0,0,19,19,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705600395,10,10,10,0,0,0,0,0,0,0,0,0,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705600410,10,10,10,0,0,0,0,0,0,0,0,0,8,8,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,16,63,46,16,16,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705600425,10,10,10,0,0,0,0,0,0,0,0,0,19,19,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,20,81,62,20,20,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0
1705600440,10,10,10,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0
1705600455,10,10,10,0,0,0,0,0,0,0,0,0,8,8,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705600470,10,10,10,0,0,0,0,0,0,0,0,0,19,19,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705600485,10,10,10,0,0,0,0,0,0,0,0,0,15,15,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705600500,10,10,10,0,0,0,0,0,0,0,0,0,14,14,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705600515,10,10,10,0,0,0,0,0,0,0,0,0,12,12,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,13,0,0,0
1705600530,10,10,10,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,21,0,0,0
1705600545,10,10,10,0,0,0,0,0,0,0,0,0,18,18,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705600560,10,10,10,0,0,0,0,0,0,0,0,0,16,16,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705600575,10,10,10,0,0,0,0,0,0,0,0,0,9,9,17,17,17,17,17,17,17,17,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,46,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705600590,10,10,10,0,0,0,0,0,0,0,0,0,19,19,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,46,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,0,0
1705600605,10,10,10,0,0,0,0,0,0,0,0,0,18,18,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705600620,10,10,10,0,0,0,0,0,0,0,0,0,14,14,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705600635,10,10,10,0,0,0,0,0,0,0,0,0,15,15,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0
1705600650,10,10,10,0,0,0,0,0,0,0,0,0,14,14,13,13,13,13,13,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,0,0,0
1705600665,10,10,10,0,0,0,0,0,0,0,0,0,18,18,17,17,17,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,16,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705600680,10,10,10,0,0,0,0,0,0,0,0,0,14,14,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,14,15,46,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705600695,10,10,10,0,0,0,0,0,0,0,0,0,18,18,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705600710,10,10,10,0,0,0,0,0,0,0,0,0,8,8,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705600725,10,10,10,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705600740,10,10,10,0,0,0,0,0,0,0,0,0,16,16,7,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,0,0
1705600755,10,10,10,0,0,0,0,0,0,0,0,0,20,20,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,46,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705600770,10,10,10,0,0,0,0,0,0,0,0,0,9,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705600785,10,10,10,0,0,0,0,0,0,0,0,0,15,15,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705600800,10,10,10,0,0,0,0,0,0,0,0,0,20,20,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705600815,10,10,10,0,0,0,0,0,0,0,0,0,15,15,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,17,17,17,17,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705600830,10,10,10,0,0,0,0,0,0,0,0,0,16,16,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,15,16,16,16,16,46,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705600845,10,10,10,0,0,0,0,0,0,0,0,0,11,11,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,15,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705600860,10,10,10,0,0,0,0,0,0,0,0,0,19,19,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,15,0,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705600875,10,10,10,0,0,0,0,0,0,0,0,0,13,13,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705600890,10,10,10,0,0,0,0,0,0,0,0,0,18,18,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,13,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705600905,10,10,10,0,0,0,0,0,0,0,0,0,13,13,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,17,0,12,48,36,12,12,12,12,12,12,12,12,12,11,11,11,33,33,11,22,11,0,0,0
1705600920,10,10,10,0,0,0,0,0,0,0,0,0,15,15,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,18,72,54,18,18,18,18,18,18,18,18,18,19,19,19,57,57,19,38,19,0,0,0
1705600935,10,10,10,0,0,0,0,0,0,0,0,0,15,15,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,16,16,16,16,16,16,16,23,17,67,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,1,0,0
1705600950,10,10,10,0,0,0,0,0,0,0,0,0,15,15,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,17,17,17,17,17,17,17,0,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0
1705600965,10,10,10,0,0,0,0,0,0,0,0,0,16,16,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705600980,10,10,10,0,0,0,0,0,0,0,0,0,15,15,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,12,47,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,1,0
1705600995,10,10,10,0,0,0,0,0,0,0,0,0,19,19,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0
1705601010,10,10,10,0,0,0,0,0,0,0,0,0,11,11,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0
1705601025,10,10,10,0,0,0,0,0,0,0,0,0,13,13,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0
1705601040,10,10,10,0,0,0,0,0,0,0,0,0,19,19,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,11,0,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,0,0,0
1705601055,10,10,10,0,0,0,0,0,0,0,0,0,16,16,21,21,21,21,21,21,21,21,21,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705601070,10,10,10,0,0,0,0,0,0,0,0,0,9,9,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705601085,10,10,10,0,0,0,0,0,0,0,0,0,18,18,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,14,56,42,14,14,14,14,13,14,15,15,15,15,15,15,45,45,15,30,15,0,0,1
1705601100,10,10,10,0,0,0,0,0,0,0,0,0,20,20,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705601115,10,10,10,0,0,0,0,0,0,0,0,0,10,10,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705601130,10,10,10,0,0,0,0,0,0,0,0,0,18,18,10,10,10,10,10,10,10,10,10,15,15,15,15,14,14,14,14,14,14,14,14,14,14,23,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705601145,10,10,10,0,0,0,0,0,0,0,0,0,16,16,20,20,20,20,20,20,20,20,20,15,15,15,15,16,16,16,16,16,16,16,16,16,16,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705601160,10,10,10,0,0,0,0,0,0,0,0,0,13,13,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705601175,10,10,10,0,0,0,0,0,0,0,0,0,15,15,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705601190,10,10,10,0,0,0,0,0,0,0,0,0,21,21,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705601205,10,10,10,0,0,0,0,0,0,0,0,0,11,11,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0
1705601220,10,10,10,0,0,0,0,0,0,0,0,0,13,13,20,20,20,20,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705601235,10,10,10,0,0,0,0,0,0,0,0,0,15,15,9,9,9,9,9,9,9,9,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705601250,10,10,10,0,0,0,0,0,0,0,0,0,19,19,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,10,10,10,10,10,10,10,10,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705601265,10,10,10,0,0,0,0,0,0,0,0,0,11,11,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,17,17,17,17,23,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705601280,10,10,10,0,0,0,0,0,0,0,0,0,19,19,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,15,15,15,15,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705601295,10,10,10,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705601310,10,10,10,0,0,0,0,0,0,0,0,0,14,14,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705601325,10,10,10,0,0,0,0,0,0,0,0,0,16,16,14,14,14,14,14,14,14,14,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0
1705601340,10,10,10,0,0,0,0,0,0,0,0,0,17,17,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0
1705601355,10,10,10,0,0,0,0,0,0,0,0,0,18,18,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0
1705601370,10,10,10,0,0,0,0,0,0,0,0,0,12,12,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705601385,10,10,10,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0
1705601400,10,10,10,0,0,0,0,0,0,0,0,0,17,17,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0
1705601415,10,10,10,0,0,0,0,0,0,0,0,0,18,18,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0
1705601430,10,10,10,0,0,0,0,0,0,0,0,0,11,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
1705601445,10,10,10,0,0,0,0,0,0,0,0,0,16,16,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,0,0
1705601460,8,8,8,0,0,0,0,0,0,0,0,0,17,17,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,23,15,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0
