time,catalogue_1,front-end_2,front-end_3,front-end_4,catalogue_5,payment_6,front-end_7,user_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,user_15,front-end_16,user_17,orders_18,front-end_19,front-end_20,front-end_21,payment_22,orders_23,shipping_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,queue-master_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,catalogue_36,front-end_37,user_38,front-end_39,user_40,front-end_41,front-end_42,user_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49
1705709160,10,10,10,10,8,8,17,68,51,17,17,17,17,17,17,11,11,17,11,11,11,17,17,17,17,17,51,51,17,34,17,11,11,11,11,5,5,8,9,9,9,9,9,9,9,9,9,9,23
1705709175,12,12,12,12,10,10,13,52,39,13,13,13,13,13,13,14,14,13,14,14,14,13,13,13,13,13,39,39,13,26,13,14,14,14,14,22,22,10,12,12,12,12,12,12,12,12,12,12,23
1705709190,19,19,19,19,10,10,13,52,39,13,13,13,13,13,13,19,19,13,19,19,19,13,13,13,13,13,39,39,13,26,13,19,19,19,19,15,15,10,19,19,19,19,19,19,19,19,19,19,23
1705709205,16,16,16,15,10,10,19,76,57,19,19,19,19,19,19,15,15,19,15,15,15,19,19,19,19,19,57,57,19,38,19,15,15,15,15,11,11,10,16,16,16,16,16,16,16,16,16,16,0
1705709220,16,16,16,17,10,10,15,60,45,15,15,15,15,15,15,14,14,15,14,14,14,15,15,15,15,15,45,45,15,30,15,14,14,14,14,21,21,10,16,16,16,16,16,16,16,16,16,16,0
1705709235,15,15,15,15,10,10,17,68,51,17,17,17,17,17,17,16,16,17,16,16,16,17,17,17,17,17,51,51,17,34,17,16,16,16,16,17,17,10,15,15,15,15,15,15,15,15,15,15,23
1705709250,11,11,11,11,10,10,14,56,42,14,14,14,14,14,14,10,10,14,10,10,10,14,14,14,14,14,42,42,14,28,14,10,10,10,10,14,14,10,11,11,11,11,11,11,11,11,11,11,23
1705709265,18,18,18,18,10,10,15,60,45,15,15,15,15,15,15,20,20,15,20,20,20,15,15,15,15,15,45,45,15,30,15,20,20,20,20,14,14,10,18,18,18,18,18,18,18,18,18,18,0
1705709280,15,15,15,15,10,10,16,64,48,16,16,16,16,16,16,11,11,16,11,11,11,16,16,16,16,16,48,48,16,32,16,11,11,11,11,13,13,10,15,15,15,15,15,15,15,15,15,15,0
1705709295,10,10,10,10,10,10,12,48,36,12,12,12,12,12,12,14,14,12,14,14,14,12,12,12,12,12,36,36,12,24,12,14,14,14,14,17,17,10,10,10,10,10,10,10,10,10,10,10,23
1705709310,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,12,12,10,16,16,16,16,16,16,16,16,16,16,0
1705709325,21,21,21,21,10,10,14,56,42,14,14,14,14,14,14,21,21,14,21,21,21,14,14,14,14,14,42,42,14,28,14,21,21,21,21,13,13,10,21,21,21,21,21,21,21,21,21,21,69
1705709340,13,13,13,13,10,10,20,80,60,20,20,20,20,20,20,13,13,20,13,13,13,20,20,20,20,20,60,60,20,40,20,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,0
1705709355,13,13,13,13,10,10,13,52,39,13,13,13,13,13,13,14,14,13,14,14,14,13,13,13,13,13,39,39,13,26,13,14,14,14,14,18,18,10,13,13,13,13,13,13,13,13,13,13,0
1705709370,14,14,14,14,10,10,14,56,42,14,14,14,14,14,14,16,16,14,16,16,16,14,14,14,14,14,42,42,14,28,14,16,16,16,16,17,17,10,14,14,14,14,14,14,14,14,14,14,0
1705709385,14,14,14,14,10,10,14,55,42,14,14,14,14,13,13,14,14,13,14,14,14,13,13,13,13,13,39,39,13,26,13,14,14,14,14,14,14,10,15,15,15,15,15,15,15,14,14,14,23
1705709400,16,16,16,16,10,10,17,69,51,17,17,17,17,18,18,16,16,18,16,16,16,18,18,18,18,18,54,54,18,36,18,16,16,16,16,14,14,10,16,16,16,16,16,16,15,16,16,16,23
1705709415,14,14,14,14,10,10,15,60,45,15,15,15,15,15,15,13,13,15,13,13,13,15,15,15,15,15,45,45,15,30,15,13,13,13,13,14,14,10,13,13,13,13,13,13,14,14,14,14,0
1705709430,17,17,17,17,10,10,16,64,48,16,16,16,16,16,16,17,17,16,17,17,17,16,16,16,16,16,48,48,16,32,16,17,17,17,17,18,18,10,17,17,17,17,17,17,17,17,17,17,0
1705709445,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,19,19,16,19,19,19,16,16,16,16,16,48,48,16,32,16,19,19,19,19,14,14,10,16,16,16,16,16,16,16,16,16,16,23
1705709460,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,15,15,16,15,15,15,16,16,16,16,16,48,48,16,32,16,15,15,15,15,17,17,10,15,15,15,15,15,15,14,14,14,14,23
1705709475,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,13,13,13,13,13,13,10,14,14,14,14,14,14,15,15,15,15,23
1705709490,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,16,16,17,16,16,16,17,17,17,17,17,51,51,17,34,17,16,16,16,16,17,17,10,14,14,14,14,14,14,14,14,14,14,0
1705709505,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,14,14,13,14,14,14,13,13,13,13,13,39,39,13,26,13,14,14,14,14,16,16,10,16,16,16,16,16,16,16,16,16,16,23
1705709520,18,18,18,18,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,14,14,10,18,18,18,18,18,18,18,18,18,18,23
1705709535,13,13,13,13,10,10,14,56,42,14,14,14,14,14,14,18,18,14,18,18,18,14,14,14,14,14,42,42,14,28,14,18,18,18,18,17,17,10,13,13,13,13,13,13,13,13,13,13,0
1705709550,20,20,20,20,10,10,16,64,48,16,16,16,16,16,16,13,13,16,13,13,13,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,10,20,20,20,20,20,20,20,20,20,20,0
1705709565,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,16,16,17,16,16,16,17,17,17,17,17,51,51,17,34,17,16,16,16,16,18,18,10,14,14,14,14,14,14,14,14,14,14,23
1705709580,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,14,14,17,14,14,14,17,17,17,17,17,51,51,17,34,17,14,14,14,14,15,15,10,14,14,14,14,14,14,14,14,14,14,0
1705709595,17,17,17,17,10,10,12,48,36,12,12,12,12,12,12,21,21,12,21,21,21,12,12,12,12,12,36,36,12,24,12,21,21,21,21,16,16,10,19,19,19,19,19,19,19,19,18,17,46
1705709610,18,18,18,18,10,10,18,72,54,18,18,18,18,18,18,12,12,18,12,12,12,18,18,18,18,18,54,54,18,36,18,12,12,12,12,13,13,10,16,16,16,16,16,16,16,16,17,18,0
1705709625,12,12,12,12,10,10,19,76,57,19,19,19,19,19,19,12,12,19,12,12,12,19,19,19,19,19,57,57,19,38,19,11,11,11,11,21,21,10,12,12,12,12,12,12,12,12,12,12,0
1705709640,14,14,14,14,10,10,10,40,30,10,10,10,10,10,10,17,17,10,17,17,17,10,10,10,10,10,30,30,10,20,10,18,18,18,18,13,13,10,14,14,14,14,14,14,14,14,14,14,23
1705709655,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,14,14,14,14,13,13,10,16,16,16,16,16,16,16,16,16,16,0
1705709670,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,15,15,17,15,15,15,17,17,17,17,17,51,51,17,34,17,16,16,16,16,17,17,10,16,16,16,16,16,16,16,16,16,16,23
1705709685,13,13,13,13,10,10,13,52,39,13,13,13,13,13,13,16,16,13,16,16,16,13,13,13,13,13,39,39,13,26,13,16,16,16,16,13,13,10,13,13,13,13,13,13,13,13,13,13,23
1705709700,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,16,16,15,16,16,16,15,15,15,15,15,45,45,15,30,15,16,16,15,15,17,17,10,15,15,15,15,15,15,15,15,15,15,0
1705709715,16,16,16,16,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,15,15,16,16,14,14,10,16,16,16,16,16,16,16,16,16,16,46
1705709730,19,19,19,19,10,10,14,56,42,14,14,14,14,14,14,15,15,14,15,15,15,14,14,14,14,14,42,42,14,28,14,15,15,15,15,13,13,10,19,19,19,19,19,19,19,19,19,19,23
1705709745,11,11,11,11,10,10,19,76,57,19,19,19,19,19,19,12,12,19,12,12,12,19,19,19,19,19,57,57,19,38,19,12,12,12,12,17,17,10,11,11,11,11,11,11,11,11,11,11,0
1705709760,16,16,16,16,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,16,16,10,17,17,17,17,17,17,16,16,16,16,23
1705709775,13,13,13,13,10,10,12,48,36,12,12,12,12,12,12,14,14,12,14,14,14,12,12,12,12,12,36,36,12,24,12,14,14,14,14,13,13,10,12,12,12,12,12,12,13,13,13,13,0
1705709790,11,11,11,11,10,10,14,56,42,14,14,14,14,14,14,17,17,14,17,17,17,14,14,14,14,14,42,42,14,28,14,17,17,17,17,12,12,10,11,11,11,11,11,11,11,11,11,11,23
1705709805,21,21,21,21,10,10,15,60,45,15,15,15,15,15,15,13,13,15,13,13,13,15,15,15,15,15,45,45,15,30,15,13,13,13,13,18,18,10,21,21,21,21,21,21,21,21,21,21,23
1705709820,14,14,14,14,10,10,19,76,57,19,19,19,19,19,19,16,16,19,16,16,16,19,19,19,19,19,57,57,19,38,19,16,16,16,16,15,15,10,14,14,14,14,14,14,14,14,14,14,0
1705709835,15,15,15,15,10,10,10,40,30,10,10,10,10,10,10,13,13,10,13,13,13,10,10,10,10,10,30,30,10,20,10,13,13,13,13,14,14,10,15,15,15,15,15,15,15,15,15,15,0
1705709850,11,11,11,11,10,10,19,76,57,19,19,19,19,19,19,15,15,19,15,15,15,19,19,19,19,19,57,57,19,38,19,15,15,15,15,17,17,10,12,12,12,12,12,12,11,11,11,11,23
1705709865,19,19,19,19,10,10,13,52,39,13,13,13,13,13,13,23,23,13,23,23,23,13,13,13,13,13,39,39,13,26,13,23,23,23,23,13,13,10,19,19,19,18,18,18,19,19,19,19,46
1705709880,17,16,16,16,10,10,17,68,51,17,17,17,17,17,17,10,10,17,10,10,10,17,17,17,17,17,51,51,17,34,17,10,10,10,10,12,12,10,16,16,16,17,17,17,17,17,17,17,0
1705709895,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,13,13,16,13,13,13,16,16,16,16,16,48,48,16,32,16,13,13,13,13,21,21,10,11,11,11,11,11,11,11,11,11,11,0
1705709910,16,16,16,16,10,10,10,40,30,10,10,10,10,10,10,19,19,10,19,19,19,10,10,10,10,10,30,30,10,20,10,19,19,19,19,12,11,10,16,16,16,16,16,16,15,15,15,15,0
1705709925,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,15,15,16,15,15,15,16,16,16,16,16,48,48,16,32,16,15,15,15,15,13,13,10,15,15,15,15,15,15,16,16,16,16,0
1705709940,19,20,20,20,10,10,18,71,54,18,18,18,18,17,17,15,15,17,15,15,15,17,17,17,17,17,51,51,17,34,17,15,15,15,15,20,21,10,19,19,19,19,19,19,19,19,19,19,0
1705709955,13,13,13,13,10,10,18,69,51,17,17,17,17,18,18,10,10,18,10,10,10,18,18,18,18,18,54,54,18,36,18,10,10,10,10,18,17,10,13,13,13,13,13,13,13,13,13,13,23
1705709970,11,11,11,11,10,10,9,40,30,10,10,10,10,10,10,20,20,10,20,20,20,10,10,10,10,10,30,30,10,20,10,20,20,20,20,13,13,10,12,12,12,12,12,12,12,12,12,12,0
1705709985,19,18,18,18,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,10,11,10,19,19,19,19,19,19,19,19,19,19,0
1705710000,17,18,18,18,10,10,18,72,54,18,18,18,18,18,18,11,11,18,11,11,11,18,18,18,18,18,54,54,18,36,18,11,11,11,11,16,15,10,16,16,16,16,16,16,16,16,16,16,0
1705710015,7,7,7,7,10,10,14,56,42,14,14,14,14,14,14,12,12,14,12,12,12,14,14,14,14,14,42,42,14,28,14,12,12,12,12,19,20,10,7,7,7,7,7,7,7,7,7,7,0
1705710030,15,15,15,15,10,10,5,20,15,5,5,5,5,5,5,15,15,5,15,15,15,5,5,5,5,5,15,15,5,10,5,15,15,15,15,10,10,10,15,15,15,15,15,15,15,15,15,15,0
1705710045,18,18,18,18,10,10,20,80,60,20,20,20,20,20,20,19,19,20,19,19,19,20,20,20,20,20,60,60,20,40,20,19,19,19,19,11,9,10,22,22,22,22,22,22,22,22,22,22,23
1705710060,12,12,12,12,10,10,18,72,54,18,18,18,18,18,18,9,9,18,9,9,9,18,18,18,18,18,54,54,18,36,18,9,9,9,9,19,21,10,8,8,8,8,8,8,8,8,8,8,46
1705710075,16,16,16,16,10,10,9,36,27,9,9,9,9,9,9,17,17,9,17,17,17,9,9,9,9,9,27,27,9,18,9,17,17,17,17,14,14,10,17,17,17,17,17,17,17,17,17,17,0
1705710090,14,14,14,14,10,10,18,72,54,18,18,18,18,18,18,15,15,18,15,15,15,18,18,18,18,18,54,54,18,36,18,15,15,15,15,13,12,10,13,13,13,13,13,13,13,13,13,13,0
1705710105,21,21,21,21,10,10,15,60,45,15,15,15,15,15,15,17,17,15,17,17,17,15,15,15,15,15,45,45,15,30,15,17,17,17,17,14,15,10,21,21,21,21,21,21,21,21,21,21,23
1705710120,8,7,7,7,10,10,17,68,51,17,17,17,17,17,17,14,14,17,14,14,14,17,17,17,17,17,51,51,17,34,17,14,14,14,14,17,17,10,9,9,9,9,9,9,9,9,9,9,0
1705710135,16,17,17,17,10,10,13,52,39,13,13,13,13,13,13,16,16,13,16,16,16,13,13,13,13,13,39,39,13,26,13,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,15,0
1705710150,13,13,13,13,10,10,13,52,39,13,13,13,13,13,13,10,10,13,10,10,10,13,13,13,13,13,39,39,13,26,13,10,10,10,10,14,14,10,13,13,13,13,13,13,13,13,13,13,0
1705710165,23,23,23,22,10,10,12,48,36,12,12,12,12,12,12,22,22,12,22,22,22,12,12,12,12,12,36,36,12,24,12,22,22,22,22,15,15,10,23,23,23,23,23,23,23,23,23,23,46
1705710180,12,12,12,13,10,10,22,88,66,22,22,22,22,22,22,8,8,22,8,8,8,22,22,22,22,22,66,66,22,44,22,8,8,8,8,10,10,10,12,12,12,12,12,12,12,12,12,12,0
1705710195,6,6,6,6,10,10,13,52,39,13,13,13,13,13,13,16,16,13,16,16,16,13,13,13,13,13,39,39,13,26,13,16,16,16,16,24,24,10,8,8,8,8,8,8,8,8,8,8,0
1705710210,21,20,20,20,10,10,11,44,33,11,11,11,11,11,11,18,18,11,18,18,18,11,11,11,11,11,33,33,11,22,11,18,18,18,18,9,9,10,20,20,20,20,20,20,20,20,20,20,69
1705710225,14,15,15,15,10,10,18,72,54,18,18,18,18,18,18,10,10,18,10,10,10,18,18,18,18,18,54,54,18,36,18,10,10,10,10,12,11,10,13,13,13,13,13,13,13,13,13,13,0
1705710240,11,10,10,10,10,10,12,48,36,12,12,12,12,12,12,15,15,12,15,15,15,12,12,12,12,12,36,36,12,24,12,15,15,15,15,19,20,10,11,11,11,11,11,11,11,11,11,11,23
1705710255,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,15,15,13,15,15,15,13,13,13,13,13,39,39,13,26,13,15,15,15,15,13,12,10,16,16,16,16,16,16,16,16,16,16,23
1705710270,14,15,15,15,10,10,13,52,39,13,13,13,13,13,13,15,15,13,15,15,15,13,13,13,13,13,39,39,13,26,13,15,15,15,15,12,13,10,15,15,15,15,15,15,15,15,15,15,46
1705710285,13,13,13,13,10,10,19,76,57,19,19,19,19,19,19,9,9,19,9,9,9,19,19,19,19,19,57,57,19,38,19,9,9,9,9,17,16,10,13,13,13,13,13,13,13,13,13,13,69
1705710300,11,11,11,11,10,10,13,52,39,13,13,13,13,13,13,14,14,13,14,14,14,13,13,12,12,12,36,36,12,24,12,14,14,14,14,14,15,10,11,11,11,11,11,11,11,11,11,11,23
1705710315,17,17,17,17,10,10,10,40,30,10,10,10,10,10,10,21,21,10,21,21,21,10,10,11,11,11,33,33,11,22,11,21,21,21,21,12,12,10,17,17,17,17,17,17,17,17,17,17,23
1705710330,19,19,19,19,10,10,16,64,48,16,16,16,16,16,16,11,11,16,11,11,11,16,16,16,16,16,48,48,16,32,16,11,11,11,11,13,13,10,19,19,19,19,19,19,19,19,19,19,46
1705710345,10,10,10,10,10,10,18,72,54,18,18,18,18,18,18,11,11,18,11,11,11,18,18,18,18,18,54,54,18,36,18,11,11,11,11,18,18,10,9,9,9,9,9,9,9,9,9,9,0
1705710360,11,11,11,11,10,10,11,44,33,11,11,11,11,11,11,16,16,11,16,16,16,11,11,11,11,11,33,33,11,22,11,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,23
1705710375,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,17,17,13,17,17,17,13,13,13,13,13,39,39,13,26,13,17,17,17,17,8,7,10,12,12,12,12,12,12,12,12,12,12,0
1705710390,18,18,18,18,10,10,11,44,33,11,11,11,11,11,11,14,14,11,14,14,14,11,11,11,11,11,33,33,11,22,11,14,14,14,14,15,16,10,19,19,19,19,19,19,19,19,19,19,23
1705710405,12,12,12,12,10,10,22,88,66,22,22,22,22,22,22,12,12,22,12,12,12,22,22,22,22,22,66,66,22,44,22,12,12,12,12,17,17,10,10,10,10,10,10,10,10,10,10,10,0
1705710420,13,13,13,13,10,10,12,48,36,12,12,12,12,12,12,13,13,12,13,13,13,12,12,12,12,12,36,36,12,24,12,13,13,13,13,16,16,10,14,14,14,14,14,14,14,14,14,14,0
1705710435,18,18,18,18,10,10,11,44,33,11,11,11,11,11,11,20,20,11,20,20,20,11,11,11,11,11,33,33,11,22,11,20,20,20,20,14,14,10,17,17,17,17,17,17,17,17,17,17,0
1705710450,17,17,17,16,10,10,20,80,60,20,20,20,20,20,20,14,14,20,14,14,14,20,20,20,20,20,60,60,20,40,20,14,14,14,14,11,11,10,18,18,18,18,18,18,18,18,18,18,0
1705710465,14,14,14,15,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,20,20,10,13,13,13,13,13,13,13,13,13,13,0
1705710480,13,13,13,13,10,10,11,44,33,11,11,11,11,11,11,13,13,11,13,13,13,11,11,11,11,11,33,33,11,22,11,13,13,13,13,11,11,10,14,14,14,14,14,14,14,14,14,14,0
1705710495,18,18,18,18,10,10,14,56,42,14,14,14,14,14,14,18,18,14,18,18,18,14,14,14,14,14,42,42,14,28,14,18,18,18,18,16,16,10,18,18,18,18,18,18,18,18,18,18,23
1705710510,15,15,15,15,10,10,19,76,57,19,19,19,19,19,19,16,16,19,16,16,16,19,19,19,19,19,57,57,19,38,19,16,16,16,16,14,14,10,15,15,15,15,15,15,15,15,15,15,0
1705710525,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,12,12,17,12,12,12,17,17,17,17,17,51,51,17,34,17,12,12,12,12,19,19,10,15,15,15,15,15,15,15,15,15,15,23
1705710540,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,18,18,13,18,18,18,13,13,13,13,13,39,39,13,26,13,18,18,18,18,13,13,10,15,15,15,15,15,15,15,15,15,15,0
1705710555,12,12,12,12,10,10,14,56,42,14,14,14,14,14,14,8,8,14,8,8,8,14,14,14,14,14,42,42,14,28,14,8,8,8,8,18,18,10,13,13,13,13,13,13,13,13,13,13,0
1705710570,16,16,16,16,10,10,12,48,36,12,12,12,12,12,12,19,19,12,19,19,19,12,12,12,12,12,36,36,12,24,12,19,19,19,19,13,13,10,17,17,17,16,16,16,16,16,16,16,23
1705710585,15,15,15,15,10,10,21,84,63,21,21,21,21,21,21,15,15,20,15,15,15,20,20,20,20,20,60,60,20,40,20,15,15,15,15,12,10,10,14,14,14,15,15,15,15,15,15,15,0
1705710600,3,3,3,3,2,2,2,8,6,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,3,3,3,3,5,7,2,4,4,4,4,4,4,4,4,4,4,0
