time,front-end_1,payment_2,user_3,catalogue_4,catalogue_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,front-end_14,front-end_15,user_16,front-end_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,catalogue_25,front-end_26,front-end_27,front-end_28,carts_29,carts_30,front-end_31,user_32,front-end_33,front-end_34,front-end_35,front-end_36,front-end_37,user_38,user_39,orders_40,payment_41,orders_42,shipping_43,queue-master_44,queue-master_45,queue-master_46,queue-master_47,queue-master_48,front-end_49,front-end_50,user_51
1705636215,32,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636230,73,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636245,75,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636260,74,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636275,81,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636290,84,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636305,73,10,10,2,35,3,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636320,15,10,10,5,15,25,25,25,25,25,25,25,25,25,13,13,13,13,13,13,13,7,7,7,7,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705636335,0,10,10,5,0,17,17,17,17,17,15,15,15,15,16,16,16,16,16,16,16,22,22,22,22,22,22,13,23,13,6,24,18,6,6,6,6,6,6,4,4,4,4,4,4,12,12,4,8,4,0
1705636350,8,10,10,5,8,5,5,5,5,5,8,8,8,8,20,20,20,20,20,20,20,20,20,20,20,20,20,30,0,0,19,76,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,0
1705636365,23,10,10,5,23,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,22,88,66,22,22,22,22,22,22,23,23,23,23,23,23,69,69,23,46,23,0
1705636380,19,10,10,5,19,21,21,21,21,21,18,18,18,18,12,12,12,12,12,12,12,10,10,10,10,10,10,8,0,0,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,0
1705636395,1,10,10,5,1,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,19,19,19,19,19,19,17,23,0,10,40,30,10,10,10,10,10,10,9,9,9,9,9,9,27,27,9,18,9,0
1705636410,17,10,10,5,17,10,10,10,10,10,13,13,13,13,16,16,16,16,16,16,16,17,17,17,17,17,17,20,46,0,19,76,57,19,19,19,19,19,19,20,20,20,20,20,20,60,60,20,40,20,0
1705636425,18,10,10,7,18,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,10,0,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705636440,13,10,10,10,13,19,19,19,19,19,16,16,16,16,17,17,17,17,17,17,17,16,16,16,16,16,16,15,23,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0
1705636455,11,10,10,10,11,15,15,15,15,15,18,18,18,18,17,17,17,17,17,17,17,18,18,18,18,18,18,18,23,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705636470,16,10,10,10,16,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,14,15,23,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,34,17,0
1705636485,17,10,10,10,17,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,32,16,0
1705636500,11,10,10,10,11,19,19,19,19,19,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0
1705636515,15,10,10,10,15,15,15,15,15,15,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705636530,16,10,10,10,16,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705636545,13,10,10,10,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,15,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636560,17,10,10,10,17,14,14,14,14,14,13,13,13,13,16,16,16,16,16,16,15,15,15,15,15,15,15,14,23,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636575,14,10,10,10,14,13,13,13,13,13,13,13,13,13,11,11,11,11,11,11,12,12,12,12,12,12,12,13,23,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705636590,17,10,10,10,17,22,22,22,22,22,23,23,23,23,15,15,15,15,15,15,15,14,14,14,14,14,14,13,0,0,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705636605,13,10,10,10,13,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,18,18,18,18,18,18,20,0,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705636620,14,10,10,10,14,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,13,23,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705636635,18,10,10,10,18,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,9,9,9,9,9,9,9,10,23,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705636650,12,10,10,10,12,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,17,17,17,17,17,17,17,17,0,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705636665,16,10,10,10,16,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,12,12,12,12,12,12,12,0,0,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,0
1705636680,15,10,10,10,15,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,18,18,18,18,18,18,18,46,0,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,0
1705636695,17,10,10,10,17,20,20,20,20,20,20,20,20,20,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636710,11,10,10,10,11,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,17,17,17,17,17,17,17,17,23,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705636725,19,10,10,10,19,13,13,13,13,13,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,12,23,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705636740,15,10,10,10,15,16,16,16,16,16,17,17,17,17,12,12,12,12,12,12,13,12,12,12,12,12,12,15,46,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705636755,11,10,10,10,11,19,19,19,19,19,19,19,19,19,16,16,16,16,16,16,16,17,17,17,17,17,17,16,0,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705636770,18,10,10,10,18,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,17,17,17,17,17,17,17,16,23,0,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0
1705636785,18,10,10,10,18,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,15,23,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705636800,10,10,10,10,10,17,17,17,17,17,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705636815,16,10,10,10,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705636830,15,10,10,10,15,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705636845,14,10,10,10,14,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636860,17,10,10,10,17,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705636875,16,10,10,10,16,14,14,14,14,14,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636890,14,10,10,10,14,14,14,14,14,14,16,16,16,16,13,13,13,13,13,13,13,13,13,13,13,13,13,14,0,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705636905,12,10,10,10,12,16,16,16,16,16,16,16,16,16,19,19,19,19,19,19,18,18,18,18,18,18,18,18,46,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705636920,16,10,10,10,16,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,12,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636935,15,10,10,10,15,14,14,14,14,14,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,15,23,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705636950,17,10,10,10,17,13,13,13,13,13,11,11,11,11,12,12,12,12,12,12,12,11,11,11,11,11,11,10,0,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705636965,11,10,10,10,11,18,18,18,18,18,19,19,19,19,13,13,13,13,13,13,13,14,14,14,14,14,14,14,0,0,13,52,39,13,13,13,13,13,13,12,12,12,12,12,12,36,36,12,24,12,0
1705636980,12,10,10,10,12,12,12,12,12,12,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,20,0,0,10,40,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,0
1705636995,15,10,10,10,15,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,14,0,0,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,0
1705637010,19,10,10,10,19,17,17,17,17,17,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,23,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705637025,12,10,10,10,12,16,16,16,16,16,18,18,18,18,15,15,15,15,15,15,15,16,16,16,16,16,16,14,0,0,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,0
1705637040,15,10,10,10,15,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,16,16,16,16,16,16,17,0,0,17,68,51,17,17,17,17,17,17,19,19,19,19,19,19,57,57,19,38,19,0
1705637055,20,10,10,10,20,15,15,15,15,15,14,14,14,14,10,10,10,10,10,10,10,12,12,12,12,12,12,13,0,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705637070,11,10,10,10,11,18,18,18,18,18,17,17,17,17,19,19,19,19,19,19,19,16,16,16,16,16,16,13,0,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705637085,14,10,10,10,14,14,14,14,14,14,16,16,16,16,13,13,13,13,13,13,13,16,16,15,15,15,15,19,23,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705637100,14,10,10,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,12,12,13,13,13,13,13,46,0,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,0
1705637115,19,10,10,10,19,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,0,0,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705637130,11,10,10,10,11,15,15,15,15,15,13,13,13,13,19,19,19,19,19,19,19,18,18,18,18,18,18,15,0,0,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,0
1705637145,16,10,10,10,16,17,17,17,17,17,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,23,0,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,0
1705637160,14,10,10,10,14,15,15,15,15,15,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,13,0,0,16,63,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,1
1705637175,15,10,10,10,15,18,18,18,18,18,16,16,16,16,18,18,18,18,18,18,18,17,17,17,17,17,17,20,23,0,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0
1705637190,18,10,10,10,18,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705637205,16,10,10,10,16,12,12,12,12,12,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,0
1705637220,12,10,10,10,12,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,23,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705637235,13,10,10,10,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,0,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705637250,19,10,10,10,19,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,14,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705637265,13,10,10,10,13,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705637280,13,10,10,10,13,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705637295,16,10,10,10,16,15,15,15,15,15,13,13,13,13,14,14,14,14,14,13,13,12,12,12,12,12,12,12,23,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705637310,16,10,10,10,16,14,14,14,14,14,16,16,16,16,15,15,15,15,15,16,16,17,17,17,17,17,17,18,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705637325,12,10,10,10,12,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,11,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705637340,16,10,10,10,16,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,17,0,0,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705637355,13,10,10,10,13,15,15,15,15,15,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705637370,14,10,10,10,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705637385,21,10,10,10,21,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,46,0,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0
1705637400,11,10,10,10,11,19,19,19,19,19,17,17,17,17,19,19,19,19,19,19,18,17,17,17,17,17,17,14,23,0,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0
1705637415,15,10,10,10,15,14,14,14,14,14,16,16,16,16,14,14,14,14,14,14,15,15,15,15,15,15,15,17,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705637430,14,10,10,10,14,18,18,18,18,18,17,17,17,17,15,15,15,15,15,15,15,16,16,16,16,16,16,16,0,0,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0
1705637445,15,10,10,10,15,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,0,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705637460,16,10,10,10,16,20,20,20,20,20,18,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0
1705637475,14,10,10,10,14,7,7,7,7,7,9,9,9,9,16,16,16,16,16,16,16,16,16,16,16,16,16,21,23,0,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0
1705637490,20,10,10,10,20,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0
1705637505,12,10,10,10,12,18,18,18,18,18,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,15,0,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0
1705637520,16,10,10,10,16,13,13,13,13,13,13,13,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,23,0,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0
1705637535,15,10,10,10,15,13,13,13,13,13,12,12,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,10,23,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705637550,14,10,10,10,14,18,18,18,18,18,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,12,0,0,12,48,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,0
1705637565,13,10,10,10,13,13,13,13,13,13,16,16,16,16,22,22,22,22,22,22,22,21,21,21,21,21,21,22,23,0,13,52,39,13,13,13,13,13,13,14,14,14,14,14,14,42,42,14,28,14,0
1705637580,16,10,10,10,16,15,15,15,15,15,13,13,13,13,11,11,11,11,11,11,11,12,12,12,12,12,12,8,0,0,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0
1705637595,18,10,10,10,18,17,17,17,17,17,18,18,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,17,46,0,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705637610,9,10,10,10,9,12,12,12,12,12,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,18,23,0,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,0
1705637625,19,10,10,10,19,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,18,72,54,18,18,18,18,18,18,19,19,19,19,19,19,57,57,19,38,19,0
1705637640,15,10,10,10,15,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,19,23,0,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0
1705637655,10,6,6,6,10,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0
