time,front-end_1,user_2,front-end_3,front-end_4,user_5,front-end_6,catalogue_7,front-end_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,front-end_14,front-end_15,catalogue_16,front-end_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,user_26,user_27,user_28,front-end_29,front-end_30,front-end_31,orders_32,payment_33,orders_34,shipping_35,front-end_36,front-end_37,front-end_38,front-end_39,queue-master_40,queue-master_41,queue-master_42,queue-master_43,queue-master_44,front-end_45,front-end_46,payment_47,user_48,carts_49,orders-db_50,front-end_51,front-end_52,front-end_53,front-end_54,catalogue_55,front-end_56,front-end_57,front-end_58,front-end_59,front-end_60,front-end_61,front-end_62,front-end_63,front-end_64,front-end_65,front-end_66,front-end_67,front-end_68,front-end_69,front-end_70,front-end_71,front-end_72,front-end_73,front-end_74,front-end_75,front-end_76,front-end_77,front-end_78,front-end_79,front-end_80,front-end_81,front-end_82,front-end_83,front-end_84,front-end_85,front-end_86,front-end_87,front-end_88,front-end_89,catalogue_90,catalogue_91,catalogue_92,catalogue_93,front-end_94,front-end_95,front-end_96,front-end_97,front-end_98,front-end_99,front-end_100,front-end_101,front-end_102,catalogue_103,front-end_104,front-end_105,catalogue_106,catalogue_107,catalogue_108,catalogue_109,front-end_110
1705713840,13,13,13,13,13,13,10,12,12,12,12,12,12,12,12,9,9,19,76,57,19,19,19,19,16,16,19,19,16,16,16,19,19,19,19,16,16,16,38,19,19,57,57,19,16,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713855,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,17,68,51,17,17,17,17,11,11,17,17,11,11,11,17,17,17,17,11,11,11,34,17,17,51,51,17,11,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713870,8,8,8,8,8,8,10,8,8,8,8,8,8,8,8,16,16,14,56,42,14,14,14,14,17,17,14,14,17,17,17,14,14,14,14,17,17,17,28,14,14,42,42,14,17,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713885,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,12,12,13,52,39,13,13,13,13,18,18,13,13,18,18,18,13,13,13,13,18,18,18,26,13,13,39,39,13,18,13,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713900,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,16,16,21,84,63,21,21,21,21,14,14,21,21,14,14,14,21,21,21,21,14,14,14,42,21,21,63,63,21,14,21,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713915,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,22,22,15,60,45,15,15,15,15,13,13,15,15,13,13,13,15,14,14,14,13,13,13,28,14,14,42,42,14,13,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713930,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,10,11,44,33,11,11,11,11,14,14,11,11,14,14,14,11,11,11,11,14,14,14,22,11,11,33,33,11,14,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713945,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,16,16,16,64,48,16,16,16,16,24,24,16,16,24,24,24,16,17,17,17,24,24,24,34,17,17,51,51,17,24,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713960,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,16,16,11,44,33,11,11,11,11,12,12,11,11,12,12,12,11,11,11,11,12,12,12,22,11,11,33,33,11,12,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713975,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,12,12,22,88,66,22,22,22,22,12,12,22,22,12,12,12,22,22,22,22,12,12,12,44,22,22,66,66,22,12,22,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705713990,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,21,21,12,48,36,12,12,12,12,17,17,12,12,17,17,17,12,12,12,12,17,17,17,24,12,12,36,36,12,17,12,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714005,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,14,14,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,34,17,17,51,51,17,17,17,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714020,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,13,13,18,72,54,18,18,18,18,16,16,18,18,16,16,16,18,18,18,18,16,16,16,36,18,18,54,54,18,16,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714035,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,17,17,15,60,45,15,15,15,15,16,16,15,15,16,16,16,15,15,15,15,16,16,16,30,15,15,45,45,15,16,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714050,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,19,19,12,48,36,12,12,12,12,18,18,12,12,18,18,18,12,12,12,12,18,18,18,24,12,12,36,36,12,18,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714065,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,12,12,19,76,57,19,19,19,19,14,14,19,19,14,14,14,19,19,19,19,14,14,14,38,19,19,57,57,19,14,19,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714080,14,14,14,14,14,14,10,13,13,13,13,13,13,13,13,16,16,18,72,54,18,18,18,18,14,14,18,18,14,14,14,18,18,18,18,14,14,14,36,18,18,54,54,18,14,18,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714095,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,17,17,17,68,51,17,17,17,17,16,16,17,17,16,16,16,17,17,17,17,16,16,16,34,17,17,51,51,17,16,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714110,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,15,15,10,39,30,10,10,10,10,16,16,9,9,16,16,16,9,9,9,9,16,16,16,18,9,9,27,27,9,16,9,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714125,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,15,15,19,77,57,19,19,19,19,12,12,20,20,12,12,12,20,20,20,20,12,12,12,40,20,20,60,60,20,12,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714140,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,18,18,15,60,45,15,15,15,15,19,19,15,15,19,19,19,15,15,15,15,19,19,19,30,15,15,45,45,15,19,15,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714155,18,18,18,18,18,18,10,18,18,18,18,18,18,18,17,16,16,14,56,42,14,14,14,14,16,16,14,14,16,16,16,14,14,14,14,16,16,16,28,14,14,42,42,14,16,14,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714170,16,16,16,16,16,16,10,16,16,16,16,16,16,16,17,14,14,15,60,45,15,15,15,15,19,19,15,15,19,19,19,15,15,15,15,19,19,19,30,15,15,45,45,15,19,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714185,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,17,17,20,80,60,20,20,20,20,10,10,20,20,10,10,10,20,20,20,20,10,10,10,40,20,20,60,60,20,10,20,10,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714200,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,18,18,14,56,42,14,14,14,14,16,16,14,14,16,16,16,14,14,14,14,16,16,16,28,14,14,42,42,14,16,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714215,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,10,13,52,39,13,13,13,13,14,14,13,13,14,14,14,13,13,13,13,14,14,14,26,13,13,39,39,13,14,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714230,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,16,16,16,64,48,16,16,16,16,20,20,16,16,20,20,20,16,16,16,16,20,20,20,32,16,16,48,48,16,20,16,10,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714245,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,13,13,15,60,45,15,15,15,15,10,10,15,15,10,10,10,15,15,15,15,10,10,10,30,15,15,45,45,15,10,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714260,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,18,18,13,52,39,13,13,13,13,16,16,13,13,16,16,16,13,13,13,13,16,16,16,26,13,13,39,39,13,16,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714275,17,17,17,17,17,17,10,16,16,16,16,16,16,16,16,13,13,17,68,51,17,17,17,17,18,18,17,17,18,18,18,17,17,17,17,18,18,18,34,17,17,51,51,17,18,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714290,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,15,15,15,60,45,15,15,15,15,13,13,15,15,13,13,13,15,15,15,15,13,13,13,30,15,15,45,45,15,13,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714305,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,17,17,16,64,48,16,16,16,16,15,15,16,16,15,15,15,16,16,16,16,15,15,15,32,16,16,48,48,16,15,16,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714320,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,14,14,14,56,42,14,14,14,14,18,18,14,14,18,18,18,14,14,14,14,18,18,18,28,14,14,42,42,14,18,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714335,19,19,19,19,19,19,10,19,19,19,18,18,18,18,18,17,17,17,68,51,17,17,17,17,15,15,17,17,15,15,15,17,17,17,17,15,15,15,34,17,17,51,51,17,15,17,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714350,15,15,15,15,15,15,10,15,15,15,16,16,16,16,16,15,15,20,80,60,20,20,20,20,16,16,20,20,16,16,16,20,20,20,20,16,16,16,40,20,20,60,60,20,16,20,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714365,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,19,19,14,56,42,14,14,14,14,16,16,14,14,16,16,16,14,14,14,14,16,16,16,28,14,14,42,42,14,16,14,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714380,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,12,12,13,52,39,13,13,13,13,19,19,13,13,19,19,19,13,13,13,13,19,19,19,26,13,13,39,39,13,19,13,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714395,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,20,20,15,60,45,15,15,15,15,13,13,15,15,13,13,13,15,15,15,15,13,13,13,30,15,15,45,45,15,13,15,10,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714410,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,15,15,18,72,54,18,18,18,18,12,12,18,18,12,12,12,18,18,18,18,12,12,12,36,18,18,54,54,18,12,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714425,13,13,13,13,13,13,10,13,13,13,12,12,12,12,12,17,17,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,30,15,15,45,45,15,15,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714440,18,18,18,18,18,18,10,18,18,18,19,19,19,19,19,10,10,11,44,33,11,11,11,11,22,22,11,11,22,22,22,11,11,11,11,22,22,22,22,11,11,33,33,11,22,11,10,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705714455,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,18,18,21,84,63,21,21,21,21,14,14,21,21,14,14,14,21,21,21,21,14,14,14,42,21,21,63,63,21,14,21,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
