time,catalogue_1,front-end_2,front-end_3,user_4,user_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,orders_20,payment_21,orders_22,shipping_23,queue-master_24,queue-master_25,queue-master_26,queue-master_27,queue-master_28,front-end_29,front-end_30,payment_31,catalogue_32,front-end_33,user_34,front-end_35,user_36,front-end_37,front-end_38,user_39,front-end_40,front-end_41,front-end_42,front-end_43,front-end_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,carts_50,user_51,front-end_52
1705700085,6,8,9,32,9,9,9,9,24,8,8,8,8,8,9,9,8,9,9,8,8,8,8,8,8,24,24,8,16,8,6,9,9,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0
1705700100,10,11,21,44,21,21,21,21,33,11,11,11,11,11,21,21,11,21,21,11,11,11,11,11,11,33,33,11,22,11,10,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0
1705700115,10,18,11,72,11,11,11,11,54,18,18,18,18,18,11,11,18,11,11,18,18,18,18,18,18,54,54,18,36,18,10,14,14,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0
1705700130,10,19,16,76,16,16,16,16,57,19,19,19,19,19,16,16,19,16,16,19,19,19,19,19,19,57,57,19,38,19,10,18,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,46,0,0,0
1705700145,10,11,17,44,17,17,17,17,33,11,11,11,11,11,17,17,11,17,17,11,11,11,11,11,11,33,33,11,22,11,10,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705700160,10,16,12,64,12,12,12,12,48,16,16,16,16,16,12,12,16,12,12,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0
1705700175,10,16,18,64,18,18,18,18,48,16,16,16,16,16,18,18,16,18,18,16,16,16,16,16,16,48,48,16,32,16,10,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705700190,10,15,14,60,14,14,14,14,45,15,15,15,15,15,14,14,15,14,14,15,15,15,15,15,15,45,45,15,30,15,10,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705700205,10,15,15,60,15,15,15,15,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
1705700220,10,14,18,56,18,18,18,18,42,14,14,14,14,14,18,18,14,18,18,14,14,14,14,14,14,42,42,14,28,14,10,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705700235,10,14,14,56,14,14,14,14,42,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0
1705700250,10,22,14,88,14,14,14,14,66,22,22,22,22,22,14,14,22,14,14,22,22,22,22,22,22,66,66,22,44,22,10,14,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705700265,10,11,21,44,21,21,21,21,33,11,11,11,11,11,21,21,11,21,21,11,11,11,11,11,11,33,33,11,22,11,10,23,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0
1705700280,10,15,14,60,14,14,14,14,45,15,15,15,15,15,14,14,15,14,14,15,15,15,15,15,15,45,45,15,30,15,10,11,11,10,23,23,23,23,23,23,22,22,22,22,22,22,22,22,46,0,0,0
1705700295,10,24,13,96,13,13,13,13,72,24,24,24,24,24,13,13,24,13,13,24,24,24,24,24,24,72,72,24,48,24,10,14,14,10,13,13,13,13,13,13,14,14,14,14,14,14,14,14,0,0,0,0
1705700310,10,12,17,48,17,17,17,17,36,12,12,12,12,12,17,17,12,17,17,12,12,12,12,12,12,36,36,12,24,12,10,23,23,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0
1705700325,10,10,16,40,16,16,16,16,30,10,10,10,10,10,16,16,10,16,16,10,10,10,10,10,10,30,30,10,18,9,10,12,12,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0
1705700340,10,22,15,88,15,15,15,15,66,22,22,22,22,22,15,15,22,15,15,22,22,22,22,22,22,66,66,22,46,23,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705700355,10,16,15,64,15,15,15,15,48,16,16,16,16,16,15,15,16,15,15,16,16,16,16,16,16,48,48,16,32,16,10,22,22,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0
1705700370,10,11,16,44,16,16,16,16,33,11,11,11,11,11,16,16,11,16,16,11,11,11,11,11,11,33,33,11,22,11,10,13,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,46,0,0,0
1705700385,10,15,20,60,20,20,20,20,45,15,15,15,15,15,20,20,15,20,20,15,15,15,15,15,15,45,45,15,30,15,10,15,15,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0
1705700400,10,20,9,80,9,9,9,9,60,20,20,20,20,20,9,9,20,9,9,20,20,20,20,20,20,60,60,20,40,20,10,14,14,10,13,13,13,13,13,13,13,12,12,12,12,12,12,12,23,0,0,0
1705700415,10,13,14,52,14,14,14,14,39,13,13,13,13,13,14,14,13,14,14,13,13,13,13,13,13,39,39,13,26,13,10,19,19,10,15,15,15,15,15,15,14,15,15,15,15,15,15,15,23,0,0,0
1705700430,10,14,18,56,18,18,18,18,42,14,14,14,14,14,18,18,14,18,18,14,14,14,14,14,14,42,42,14,28,14,10,13,13,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,0,0,0,0
1705700445,10,16,19,64,19,19,19,19,48,16,16,16,16,16,19,19,16,19,19,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0
1705700460,10,18,11,72,11,11,11,11,54,18,18,18,18,18,11,11,18,11,11,18,18,18,18,18,18,54,54,18,36,18,10,15,15,10,14,14,14,14,14,14,14,14,14,13,13,13,13,13,23,0,0,0
1705700475,10,13,18,52,18,18,18,18,39,13,13,13,13,13,18,18,13,18,18,13,13,13,13,13,13,39,39,13,26,13,10,19,19,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,0,0,0,0
1705700490,10,15,16,60,16,16,16,16,45,15,15,15,15,15,16,16,15,16,16,15,15,15,15,15,15,45,45,15,30,15,10,11,11,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0
1705700505,10,21,16,84,16,16,16,16,63,21,21,21,21,21,16,16,21,16,16,21,21,21,21,21,21,63,63,21,42,21,10,20,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705700520,10,10,15,40,15,15,15,15,30,10,10,10,10,10,15,15,10,15,15,10,10,10,10,10,10,30,30,10,20,10,10,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0
1705700535,10,20,15,80,15,15,15,15,60,20,20,20,20,20,15,15,20,15,15,20,20,20,20,20,20,60,60,20,40,20,10,8,8,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705700550,10,12,16,48,16,16,16,16,36,12,12,12,12,12,16,16,12,16,16,12,12,12,12,12,12,36,36,12,24,12,10,20,20,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0
1705700565,10,17,11,68,11,11,11,11,51,17,17,17,17,17,11,11,17,11,11,17,17,17,17,17,17,51,51,17,34,17,10,15,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705700580,10,14,24,56,24,24,24,24,42,14,14,14,14,14,24,24,14,24,24,14,14,14,14,14,14,42,42,14,28,14,10,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0
1705700595,10,19,14,76,14,14,14,14,57,19,19,19,19,19,14,14,19,14,14,19,19,19,19,19,19,57,57,19,38,19,10,11,11,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0
1705700610,10,18,12,72,12,12,12,12,54,18,18,18,18,18,12,12,18,12,12,18,18,18,18,18,18,54,54,18,36,18,10,22,22,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0
1705700625,10,13,15,52,15,15,15,15,39,13,13,13,13,13,15,15,13,15,15,13,13,13,13,13,13,39,39,13,26,13,10,16,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
1705700640,10,14,21,56,21,21,21,21,42,14,14,14,14,14,21,21,14,21,21,14,14,14,14,14,14,42,42,14,28,14,10,14,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0
1705700655,10,18,10,72,10,10,10,10,54,18,18,18,18,18,10,10,18,10,10,18,18,18,18,18,18,54,54,18,36,18,10,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0
1705700670,10,12,18,48,18,18,18,18,36,12,12,12,12,12,18,18,12,18,18,12,12,12,12,12,12,36,36,12,24,12,10,16,16,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
1705700685,10,14,13,56,13,13,13,13,42,14,14,14,14,14,13,13,14,13,13,14,14,14,14,14,14,42,42,14,28,14,10,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705700700,10,16,18,64,18,18,18,18,48,16,16,16,16,16,18,18,16,18,18,16,16,16,16,16,16,48,48,16,32,16,10,18,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0
1705700715,10,21,16,84,16,16,16,16,63,21,21,21,21,21,16,16,21,16,16,21,21,21,21,21,21,63,63,21,42,21,10,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705700730,10,13,19,52,19,19,19,19,39,13,13,13,13,13,19,19,13,19,19,13,13,13,13,13,13,39,39,13,26,13,10,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
1705700745,10,16,9,64,9,9,9,9,48,16,16,16,16,16,9,9,16,9,9,16,16,16,16,16,16,48,48,16,32,16,10,16,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0
1705700760,10,13,18,52,18,18,18,18,39,13,13,13,13,13,18,18,13,18,18,13,13,13,13,13,13,39,39,13,26,13,10,14,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,46,0,0,0
1705700775,10,16,16,64,16,16,16,16,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,14,14,14,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705700790,10,16,15,64,15,15,15,15,48,16,16,16,16,16,15,15,16,15,15,16,16,16,16,16,16,48,48,16,32,16,10,17,17,10,17,17,17,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0
1705700805,10,17,17,68,17,17,17,17,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,15,15,10,13,13,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0
1705700820,10,10,15,40,15,15,15,15,30,10,10,10,10,10,15,15,10,15,15,10,10,10,10,10,10,30,30,10,20,10,10,13,13,10,18,18,19,19,19,19,19,19,19,19,18,18,18,18,0,0,0,0
1705700835,10,22,12,88,12,12,12,12,66,22,22,22,22,22,12,12,22,12,12,22,22,22,22,22,22,66,66,22,44,22,10,17,17,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,46,0,0,0
1705700850,10,10,17,40,17,17,17,17,30,10,10,10,10,10,17,17,10,17,17,10,10,10,10,10,10,30,30,10,20,10,10,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0
1705700865,10,18,13,72,13,13,13,13,54,18,18,18,18,18,13,13,18,13,13,18,18,18,18,18,18,54,54,18,36,18,10,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705700880,10,15,11,60,11,11,11,11,45,15,15,15,15,15,11,11,15,11,11,15,15,15,15,15,15,45,45,15,30,15,10,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705700895,10,12,16,48,16,16,16,16,36,12,12,12,12,12,16,16,12,16,16,12,12,12,12,12,12,36,36,12,24,12,10,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705700910,10,14,24,56,24,24,24,24,42,14,14,14,14,14,24,24,14,24,24,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0
1705700925,10,21,10,84,10,10,10,10,63,21,21,21,21,21,10,10,21,10,10,21,21,21,21,21,21,63,63,21,42,21,10,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0
1705700940,10,14,11,56,11,11,11,11,42,14,14,14,14,14,11,11,14,11,11,14,14,14,14,14,14,42,42,14,28,14,10,23,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705700955,10,10,23,40,23,23,23,23,30,10,10,10,10,10,23,23,10,23,23,10,10,10,10,10,10,30,30,10,20,10,10,11,11,10,20,20,20,20,20,20,19,19,19,19,19,19,19,19,23,0,0,0
1705700970,10,22,12,88,12,12,12,12,66,22,22,22,22,22,12,12,22,12,12,22,22,22,22,22,22,66,66,22,44,22,10,10,10,10,16,16,16,16,16,16,17,17,17,17,17,17,17,17,0,0,0,0
1705700985,10,15,17,60,17,17,17,17,45,15,15,15,15,15,17,17,15,17,17,15,15,15,15,15,15,45,45,15,30,15,10,24,24,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,23,1,0,0
1705701000,10,9,14,36,14,14,14,14,27,9,9,9,9,9,14,14,9,14,14,9,9,9,9,9,9,27,27,9,18,9,10,13,13,10,20,20,20,20,20,20,20,20,20,19,19,19,19,19,0,0,0,0
1705701015,10,23,17,92,17,17,17,17,69,23,23,23,23,23,17,17,23,17,17,23,23,23,23,23,23,69,69,23,46,23,10,11,11,10,17,17,17,17,17,17,17,17,17,18,18,18,18,18,0,0,0,0
1705701030,10,13,14,52,14,14,14,14,39,13,13,13,13,13,14,14,13,14,14,13,13,13,13,13,13,39,39,13,26,13,10,23,23,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0
1705701045,10,15,15,60,15,15,15,15,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,12,12,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0
1705701060,10,14,12,56,12,12,12,12,42,14,14,14,14,14,12,12,14,12,12,14,14,14,14,14,14,42,42,14,28,14,10,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0
1705701075,10,12,20,48,20,20,20,20,36,12,12,12,12,12,20,20,12,20,20,12,12,12,12,12,12,36,36,12,24,12,10,14,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0
1705701090,10,17,9,68,9,9,9,9,51,17,17,17,17,17,9,9,17,9,9,17,17,17,17,17,17,51,51,17,32,16,10,12,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0
1705701105,10,14,13,56,13,13,13,13,42,14,14,14,14,14,13,13,14,13,13,14,14,14,14,14,14,42,42,14,30,15,10,19,19,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0
1705701120,10,12,19,48,19,19,19,19,36,12,12,12,12,12,19,19,12,19,19,12,12,12,12,12,12,36,36,12,24,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705701135,10,18,15,72,15,15,15,15,54,18,18,18,18,18,15,15,18,15,15,18,18,18,18,18,18,54,54,18,36,18,10,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0
1705701150,10,16,15,64,15,15,15,15,48,16,16,16,16,16,15,15,16,15,15,16,16,16,16,16,16,48,48,16,32,16,10,13,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0
1705701165,10,15,15,60,14,14,14,14,45,15,15,15,15,15,14,14,15,14,14,15,15,15,15,15,15,45,45,15,30,15,10,17,17,10,14,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705701180,10,17,15,68,16,16,16,16,51,17,17,17,17,17,16,16,17,16,16,17,17,17,17,17,17,51,51,17,34,17,10,17,17,10,15,16,16,16,16,16,16,16,16,15,15,15,15,15,0,0,0,0
1705701195,10,16,13,64,13,13,13,13,48,16,16,16,16,16,13,13,16,13,13,16,16,16,16,16,16,48,48,16,32,16,10,14,14,10,14,14,14,14,14,14,14,14,14,15,15,15,15,15,46,0,0,0
1705701210,10,8,20,32,20,20,20,20,24,8,8,8,8,8,20,20,8,20,20,8,8,8,8,8,8,24,24,8,16,8,10,15,15,10,19,19,19,19,19,19,19,19,19,18,17,17,17,17,0,0,0,0
1705701225,10,20,11,80,11,11,11,11,60,20,20,20,20,20,11,11,20,11,11,20,20,20,20,20,20,60,60,20,40,20,10,10,10,10,13,13,13,13,13,13,13,13,13,14,15,15,15,15,0,0,0,0
1705701240,10,18,13,72,12,12,12,12,54,18,18,18,18,18,12,12,18,12,12,18,18,18,18,18,18,54,54,18,36,18,10,22,22,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705701255,10,6,9,24,10,10,10,10,18,6,6,6,6,6,10,10,6,10,10,6,6,6,6,6,6,18,18,6,12,6,10,14,14,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0
1705701270,10,10,25,40,25,25,25,25,30,10,10,10,10,10,25,25,10,25,25,10,10,10,10,10,10,30,30,10,20,10,10,8,8,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0
1705701285,10,24,11,96,11,11,11,11,72,24,24,24,24,24,10,10,24,10,10,24,24,24,23,23,23,69,69,23,46,23,10,13,13,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10,0,0,0,0
1705701300,10,12,12,48,12,12,12,12,36,12,12,12,12,12,13,13,12,13,13,12,12,12,13,13,13,39,39,13,26,13,10,23,23,10,12,12,12,12,12,12,12,13,13,13,13,13,13,13,0,0,0,0
1705701315,10,12,21,48,21,21,21,21,36,12,12,12,12,12,20,20,12,20,20,12,12,12,12,12,12,36,36,12,24,12,10,9,9,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
1705701330,10,21,10,84,10,10,10,10,63,21,21,21,21,21,11,11,21,11,11,21,21,21,20,20,20,60,60,20,40,20,10,14,13,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0
1705701345,10,13,12,52,12,12,12,12,39,13,13,13,13,13,12,12,13,12,12,13,13,13,14,14,14,42,42,14,28,14,10,21,22,10,14,14,14,14,14,14,13,13,13,13,13,13,13,13,23,0,0,0
1705701360,10,12,15,48,15,15,15,15,36,12,12,12,12,12,15,15,12,15,15,12,12,12,12,12,12,36,36,12,24,12,10,11,11,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,0,0,0,0
1705701375,10,12,21,48,21,21,21,21,36,12,12,12,12,12,21,21,12,21,21,12,12,12,12,12,12,36,36,12,24,12,10,15,15,10,22,22,22,22,22,22,22,22,22,22,22,22,22,22,46,0,0,0
1705701390,10,21,15,84,15,15,15,15,63,21,21,21,21,21,15,15,21,15,15,21,21,21,21,21,21,63,63,21,42,21,10,11,11,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,69,0,0,0
1705701405,10,19,14,76,14,14,14,14,57,19,19,19,19,19,14,14,18,14,14,19,19,19,19,19,19,57,57,19,38,19,10,22,22,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,1,0
1705701420,10,8,14,32,14,14,14,14,24,8,8,8,8,8,14,14,8,14,14,8,8,8,8,8,8,24,24,8,16,8,10,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0
1705701435,10,19,15,76,15,15,15,15,57,19,19,19,19,19,14,14,19,14,14,19,19,19,19,19,19,57,57,19,38,19,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0
1705701450,10,13,16,52,16,16,16,16,39,13,13,13,13,13,17,17,13,17,17,13,13,13,13,13,13,39,39,13,26,13,10,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0
1705701465,10,14,17,56,16,16,16,16,42,14,14,14,14,14,16,16,14,16,16,14,14,14,14,14,14,42,42,14,28,14,10,17,17,10,17,17,17,17,17,17,17,17,17,17,16,16,16,16,46,0,0,1
1705701480,10,19,15,76,16,16,16,16,57,19,19,19,19,19,16,16,19,16,16,19,19,19,19,19,19,57,57,19,38,19,10,13,13,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,0,0,0,0
1705701495,10,10,18,40,18,18,18,18,30,10,10,10,10,10,18,18,10,18,18,10,10,10,10,10,10,30,30,10,20,10,10,16,16,10,21,21,21,21,20,20,20,20,20,20,20,20,20,20,46,0,0,0
1705701510,10,21,10,84,10,10,10,10,63,21,21,21,21,21,10,10,21,10,10,21,21,21,21,21,21,63,63,21,42,21,10,16,16,10,12,12,12,12,13,13,13,13,13,13,13,13,13,13,0,0,0,0
1705701525,4,7,9,28,9,9,9,9,21,7,7,7,7,7,9,9,7,9,9,7,7,7,7,7,7,21,21,7,14,7,4,9,9,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0
