time,front-end_1,catalogue_2,front-end_3,user_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,catalogue_12,front-end_13,payment_14,front-end_15,user_16,front-end_17,front-end_18,front-end_19,front-end_20,front-end_21,user_22,user_23,orders_24,payment_25,orders_26,shipping_27,queue-master_28,queue-master_29,queue-master_30,queue-master_31,queue-master_32,front-end_33,front-end_34,user_35,front-end_36,user_37,front-end_38,front-end_39,user_40,front-end_41,front-end_42,front-end_43,front-end_44,front-end_45,catalogue_46,front-end_47,front-end_48,carts_49,orders_50,orders_51,front-end_52,front-end_53,user_54,user_55
1705746255,12,8,12,12,12,12,12,12,12,12,12,9,9,8,5,20,15,5,5,5,5,5,5,5,5,5,5,5,5,15,15,5,10,5,6,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705746270,16,10,13,13,13,13,13,13,13,13,13,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0,0,0,0
1705746285,16,10,16,16,16,16,16,16,16,16,16,15,15,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0
1705746300,12,10,14,14,14,14,14,14,14,14,14,15,15,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0
1705746315,17,10,15,15,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,23,0,0,0,0,0,0
1705746330,11,10,17,17,17,17,17,17,17,17,17,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705746345,21,10,14,14,14,14,14,14,14,14,14,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0
1705746360,11,10,13,13,13,13,13,13,13,13,13,16,16,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705746375,14,10,12,12,12,12,12,12,12,12,12,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705746390,18,10,17,17,17,17,17,17,17,17,17,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746405,12,10,15,15,15,15,15,15,15,15,15,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0
1705746420,11,10,18,18,18,18,18,18,18,18,18,15,15,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0
1705746435,19,10,13,13,13,13,13,13,13,13,13,14,14,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0
1705746450,13,10,16,16,16,16,16,16,16,16,16,14,14,10,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0
1705746465,21,10,17,17,17,17,17,17,17,17,17,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0
1705746480,9,10,11,11,11,11,11,11,11,11,11,15,15,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,9,9,9,9,9,9,9,9,9,9,9,9,9,23,0,0,0,0,0,0
1705746495,17,10,13,13,13,13,13,13,13,13,13,18,18,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705746510,15,10,19,19,19,19,19,19,19,19,19,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,46,0,0,0,0,0,0
1705746525,14,10,13,13,13,13,13,13,13,13,13,15,15,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746540,14,10,9,9,9,9,9,9,9,9,9,14,14,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0
1705746555,13,10,23,23,23,23,23,23,23,23,23,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746570,20,10,15,15,15,15,15,15,15,15,15,11,11,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746585,14,10,12,12,12,12,12,12,12,12,12,23,23,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0
1705746600,10,10,15,15,15,15,15,15,15,15,15,11,11,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
1705746615,17,10,15,15,15,15,15,15,15,15,15,14,14,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705746630,16,10,17,17,17,17,17,16,16,16,16,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0
1705746645,14,10,12,12,12,12,12,13,13,13,13,19,19,10,17,68,51,17,17,17,17,17,17,17,17,17,16,16,16,48,48,16,32,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705746660,15,10,21,21,21,21,21,21,21,21,21,15,15,10,12,48,36,12,12,12,12,12,12,12,12,12,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746675,20,10,12,12,12,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0
1705746690,15,10,16,16,16,16,16,16,16,16,16,23,23,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705746705,14,10,12,12,12,12,12,12,12,12,12,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,14,14,14,14,46,0,0,0,0,0,0
1705746720,17,10,19,19,19,19,19,19,19,19,19,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,16,16,16,16,16,16,16,17,17,17,17,46,0,0,0,0,0,0
1705746735,11,10,16,16,16,16,16,16,16,16,16,16,16,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,23,0,0,0,0,0,0
1705746750,15,10,11,11,11,11,11,11,11,11,11,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705746765,18,10,22,22,22,22,22,22,22,22,22,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746780,15,10,12,12,12,12,12,12,12,12,12,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705746795,16,10,13,13,13,13,13,13,13,13,13,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0
1705746810,13,10,17,17,17,17,17,17,17,17,17,18,18,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,0,0,0,0,0,0
1705746825,13,10,16,16,16,16,16,16,16,16,16,12,12,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,14,14,14,13,13,13,13,13,13,13,0,0,0,0,0,0,0
1705746840,16,10,11,11,11,11,11,11,11,11,11,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,16,16,16,16,16,16,16,0,0,0,0,0,0,0
1705746855,14,10,18,18,18,18,18,18,18,18,18,21,21,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0
1705746870,16,10,14,14,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0,0,0,0
1705746885,18,10,19,19,19,19,19,19,19,19,19,14,14,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746900,15,10,11,11,11,11,11,11,11,11,11,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,16,16,16,16,16,16,16,15,15,15,15,23,0,0,0,0,0,0
1705746915,12,10,17,17,17,17,17,17,17,17,17,19,19,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,11,11,11,11,11,11,11,11,11,12,12,12,12,0,0,0,0,0,0,0
1705746930,18,10,17,17,17,17,17,17,17,17,17,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746945,14,10,12,12,12,12,12,12,12,12,12,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705746960,14,10,16,16,16,16,16,16,16,16,16,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,0,0,0,0,0,0
1705746975,18,10,17,17,17,17,17,17,17,17,17,13,13,10,15,59,45,15,15,15,15,15,15,14,13,13,13,13,13,39,39,13,26,13,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705746990,15,10,12,12,12,12,12,12,12,12,12,14,14,10,15,61,45,15,15,15,15,15,15,16,16,16,15,15,15,45,45,15,30,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,71,1,2,1,0,0
1705747005,12,10,13,13,13,13,13,13,13,13,13,17,17,10,15,60,45,15,15,15,15,15,15,15,15,15,16,16,16,48,48,16,32,16,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,0,0,0,0,0,0
1705747020,16,10,17,17,17,17,17,17,17,17,17,11,11,10,14,55,42,14,14,14,14,13,13,13,12,12,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0
1705747035,17,10,17,17,17,17,17,17,17,17,17,13,13,10,13,53,39,13,13,13,13,14,14,14,15,15,15,15,15,45,45,15,28,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705747050,17,10,15,15,15,15,15,15,15,15,15,19,19,10,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,34,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705747065,13,10,12,12,12,12,12,12,12,12,12,14,14,10,20,80,60,20,20,20,20,20,20,21,21,21,21,21,21,63,63,21,42,21,10,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0
1705747080,14,10,20,20,20,20,20,20,20,20,20,18,18,10,11,44,33,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,20,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,71,1,2,1,0,0
1705747095,20,10,16,16,16,16,16,16,16,16,16,9,9,10,19,75,57,19,19,19,19,19,19,17,16,16,16,16,16,48,48,16,32,16,10,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0,0,0,0
1705747110,11,10,11,11,11,11,11,11,11,11,11,23,23,10,15,61,45,15,15,15,15,14,15,13,14,14,14,14,14,42,42,14,28,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,142,2,4,2,0,0
1705747125,16,10,18,18,18,18,18,18,18,18,18,15,15,10,11,44,33,11,11,11,11,12,11,13,13,13,13,13,13,39,39,13,26,13,10,16,15,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,1,0
1705747140,16,10,13,13,13,13,13,13,13,13,13,12,12,10,17,68,51,17,17,17,17,17,17,17,15,15,15,15,15,45,45,15,30,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0
1705747155,16,10,16,16,16,16,16,16,16,16,16,16,16,10,15,60,45,15,15,15,15,15,15,15,17,17,12,12,12,36,36,12,24,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,267,1,10,5,0,0
1705747170,12,10,14,14,14,14,14,14,14,14,14,14,14,10,18,72,54,18,18,18,18,18,17,17,17,17,17,17,17,51,51,17,32,16,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0
1705747185,15,10,16,16,16,16,16,16,16,16,16,17,17,10,13,52,39,13,13,13,13,13,14,14,14,14,14,14,14,42,42,14,30,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705747200,14,10,14,14,14,14,14,14,14,14,14,15,15,10,14,56,42,14,14,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705747215,16,10,15,15,15,15,15,15,15,15,15,13,13,10,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,32,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,46,0,0,0,0,0,0
1705747230,13,10,17,17,17,17,17,17,17,17,17,16,16,10,14,56,42,14,14,14,14,14,13,13,13,13,13,13,13,39,39,13,28,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,23,71,1,2,1,0,0
1705747245,16,10,14,14,14,14,14,14,14,14,14,14,14,10,14,56,42,14,14,14,14,14,15,14,14,14,14,14,14,42,42,14,28,14,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0
1705747260,15,10,12,12,12,12,12,12,12,12,12,12,12,10,16,64,48,16,16,16,16,16,16,16,16,16,6,6,6,18,18,6,10,5,10,15,15,15,15,15,15,15,15,15,15,15,15,15,46,583,2,22,11,0,0
1705747275,14,10,21,21,21,21,21,21,21,21,21,20,20,10,14,56,42,14,14,14,14,14,14,14,14,14,13,13,13,39,39,13,26,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,46,49,0,2,1,0,0
1705747290,19,10,8,8,8,8,8,8,8,8,8,13,13,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,46,0,0,0,0,0,0
1705747305,17,10,21,21,21,21,21,21,21,21,21,15,15,10,14,56,42,14,14,14,14,14,14,14,14,13,13,13,13,39,39,13,26,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,46,71,1,2,1,0,0
1705747320,11,10,14,14,14,14,14,14,14,14,14,15,15,10,20,79,60,20,20,20,20,19,20,19,19,19,19,19,19,57,57,19,36,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705747335,20,10,16,16,16,16,16,16,16,16,16,17,17,10,13,53,39,13,13,13,13,14,13,14,14,14,14,14,14,42,42,14,28,14,10,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0
1705747350,15,10,15,15,15,15,15,15,15,15,15,16,16,10,19,76,57,19,19,19,19,19,19,18,18,18,18,18,18,54,54,18,36,18,10,14,14,14,14,14,14,14,14,14,14,14,14,14,46,0,0,0,0,0,0
1705747365,15,10,15,15,15,15,15,15,15,15,15,15,15,10,14,56,42,14,14,14,14,14,14,15,15,15,15,15,15,45,45,15,32,16,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705747380,15,10,15,15,15,15,15,15,15,15,15,16,16,10,13,50,37,13,13,12,12,11,11,10,10,10,10,10,10,30,30,10,20,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705747395,16,10,14,14,14,14,14,14,14,14,14,13,13,10,15,62,47,15,15,16,16,17,17,18,18,18,18,18,18,54,54,18,36,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,23,0,0,0,0,0,0
1705747410,12,10,15,15,15,15,15,15,15,15,15,16,16,10,16,63,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0
1705747425,18,10,17,17,17,17,17,17,17,17,17,19,19,10,14,57,42,14,14,14,14,13,14,14,14,14,12,12,12,36,36,12,24,12,10,18,18,18,18,18,18,18,18,18,18,18,18,18,23,0,0,0,0,0,0
1705747440,14,10,14,14,14,14,14,14,14,14,14,11,11,10,18,72,54,18,18,18,18,19,18,18,18,18,3,3,3,9,9,3,6,3,10,14,14,14,14,14,14,14,14,14,14,14,14,14,23,855,1,34,17,0,0
1705747455,14,10,16,16,16,16,16,16,16,16,16,17,17,10,13,51,39,13,13,13,13,13,13,10,10,10,10,10,10,30,30,10,20,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,169,1,6,3,0,0
1705747470,18,10,16,16,16,16,16,16,16,16,16,11,11,10,16,65,48,16,16,16,16,16,16,17,13,13,13,13,13,39,39,13,24,12,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,218,1,8,4,0,0
1705747485,11,10,11,11,11,11,11,11,11,11,11,20,20,10,14,56,42,14,14,14,14,14,13,13,12,12,12,12,12,36,36,12,26,13,10,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0
1705747500,15,10,18,18,18,18,18,18,18,18,18,13,13,10,14,56,42,14,14,14,14,14,15,15,16,16,16,16,16,48,48,16,30,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
1705747515,19,10,14,14,14,14,14,14,14,14,14,15,15,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0
1705747530,10,10,14,14,14,14,14,14,14,14,14,14,14,10,21,84,63,21,21,21,21,21,21,21,19,19,19,19,19,57,57,19,36,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,120,1,4,2,0,0
1705747545,17,10,15,14,15,15,15,15,15,15,15,15,15,10,11,43,33,11,11,11,11,11,11,10,10,10,10,10,10,30,30,10,22,11,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,1
1705747560,14,10,18,18,18,18,18,18,18,18,18,16,16,10,16,65,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,36,18,10,14,14,14,14,14,14,14,14,14,14,14,14,14,46,0,0,0,0,0,0
1705747575,12,10,10,10,10,10,10,10,10,10,10,15,15,10,16,63,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0
1705747590,18,10,24,24,24,24,24,24,24,24,24,13,13,10,10,41,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,18,9,10,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0
1705747605,15,10,6,6,6,6,6,6,6,6,6,12,12,10,21,84,63,21,21,21,21,21,20,21,21,21,21,21,21,63,63,21,40,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,23,0,0,0,0,0,0
1705747620,14,10,17,17,17,17,17,17,17,17,17,23,23,10,12,48,36,12,12,12,12,12,13,13,13,13,13,13,13,39,39,13,30,15,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705747635,18,10,20,20,20,20,20,20,20,20,20,8,8,10,13,50,39,13,13,13,13,13,10,9,9,9,9,9,9,27,27,9,18,9,10,18,18,18,18,18,18,18,18,18,18,18,18,18,23,147,0,6,3,0,0
1705747650,12,10,12,12,12,12,12,12,12,12,12,14,14,10,20,80,60,20,20,20,20,19,17,15,15,15,15,15,15,45,45,15,30,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,23,147,0,6,3,0,0
1705747665,17,10,15,15,15,15,15,15,15,15,15,19,19,10,13,53,39,13,13,13,13,14,13,16,16,16,16,16,16,48,48,16,30,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0
1705747680,13,10,18,18,18,18,18,18,18,18,18,15,15,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0
1705747695,6,2,2,2,2,2,2,2,2,2,2,4,4,2,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,6,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0
