time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,user_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,user_14,front-end_15,front-end_16,user_17,front-end_18,front-end_19,front-end_20,front-end_21,front-end_22,user_23,user_24,orders_25,front-end_26,payment_27,orders_28,shipping_29,front-end_30,front-end_31,queue-master_32,queue-master_33,queue-master_34,front-end_35,front-end_36,front-end_37,queue-master_38,queue-master_39,catalogue_40,front-end_41,front-end_42,front-end_43,user_44,catalogue_45,front-end_46,catalogue_47,payment_48,carts_49,user-db_50,carts_51
1705736265,10,10,10,10,10,8,8,8,10,10,10,10,8,8,7,5,20,15,5,5,5,5,5,5,5,7,5,5,5,7,7,5,5,15,8,4,7,15,5,7,7,7,7,2,3,3,2,2,0,0,0
1705736280,16,16,16,16,16,18,18,18,16,16,16,16,18,18,19,16,64,48,16,16,16,16,16,16,16,19,16,16,16,19,19,16,16,48,34,17,19,48,16,19,19,19,19,5,10,10,5,5,0,0,0
1705736295,15,15,15,15,15,16,16,16,15,15,15,14,16,16,16,20,80,60,20,20,20,20,20,20,20,16,20,20,20,16,16,20,20,60,40,20,16,60,20,16,16,16,16,5,22,22,5,5,23,0,0
1705736310,13,13,13,13,13,15,15,15,13,13,13,14,15,15,15,12,48,36,12,12,12,12,12,12,12,15,12,12,12,15,15,12,12,36,24,12,15,36,12,15,15,15,15,5,16,16,5,5,0,0,0
1705736325,13,13,13,13,13,11,11,11,13,13,13,13,11,11,11,16,64,48,16,16,16,16,16,16,16,11,16,16,16,11,11,16,16,48,32,16,11,48,16,11,11,11,11,9,15,15,10,10,0,0,0
1705736340,19,19,19,19,19,17,17,17,19,19,19,19,17,17,17,13,52,39,13,13,13,13,13,13,13,17,13,13,13,17,17,13,13,39,26,13,17,39,13,17,17,17,17,10,15,15,10,10,23,0,0
1705736355,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,64,48,16,16,16,16,16,16,16,14,16,16,16,14,14,16,16,48,32,16,14,48,16,14,14,14,14,10,14,14,10,10,23,0,0
1705736370,14,13,13,13,13,18,18,18,13,13,13,13,18,18,18,16,64,48,16,16,16,16,16,16,16,18,16,16,16,18,18,16,16,48,32,16,18,48,16,18,18,18,18,10,12,12,10,10,0,0,0
1705736385,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,60,45,15,15,15,15,15,15,15,14,15,15,15,14,14,15,15,45,30,15,14,45,15,14,14,14,14,10,18,18,10,10,0,0,0
1705736400,20,20,20,20,20,16,16,16,20,20,20,20,16,16,16,15,60,45,15,15,15,15,15,15,15,16,15,15,15,16,16,15,15,45,30,15,16,45,15,16,16,16,16,10,13,13,10,10,23,0,0
1705736415,11,11,11,11,11,17,17,17,11,11,11,11,17,17,17,14,56,42,14,14,14,14,14,14,14,17,14,14,14,17,17,14,14,42,28,14,17,42,14,17,17,17,17,10,16,16,10,10,0,0,0
1705736430,13,13,13,13,13,8,8,8,13,13,13,13,8,8,8,18,72,54,18,18,18,18,18,18,18,8,18,18,18,8,8,18,18,54,36,18,8,54,18,8,8,8,8,10,15,15,10,10,0,0,0
1705736445,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,8,32,24,8,8,8,8,8,8,8,19,8,8,8,19,19,8,8,24,16,8,19,24,8,19,19,19,19,10,15,15,10,10,0,0,0
1705736460,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,84,63,21,21,21,21,21,21,21,19,21,21,21,19,19,21,21,63,42,21,19,63,21,19,19,19,19,10,13,13,10,10,0,0,0
1705736475,11,11,11,11,11,12,12,12,11,11,11,11,12,12,12,18,72,54,18,18,18,18,18,18,18,12,18,18,18,12,12,18,18,54,36,18,12,54,18,12,12,12,12,10,16,16,10,10,0,0,0
1705736490,19,19,19,19,19,18,18,18,19,19,19,19,18,18,18,9,36,27,9,9,9,9,9,9,9,18,9,9,9,18,18,9,9,27,18,9,18,27,9,18,18,18,18,10,19,19,10,10,0,0,0
1705736505,11,11,11,11,11,14,14,14,11,11,11,11,14,14,14,19,76,57,19,19,19,19,19,19,19,14,19,19,19,14,14,19,19,57,38,19,14,57,19,14,14,14,14,10,13,12,10,10,0,0,0
1705736520,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,32,16,16,48,16,16,16,16,16,10,15,16,10,10,0,0,0
1705736535,17,17,17,17,17,15,15,15,17,17,17,17,15,15,15,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,45,30,15,15,45,15,15,15,15,15,10,15,15,10,10,0,0,0
1705736550,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,14,56,42,14,14,14,14,14,14,14,16,14,14,14,16,16,14,14,42,28,14,16,42,14,16,16,16,16,10,19,19,10,10,0,0,0
1705736565,13,13,13,13,13,16,16,16,13,13,13,13,16,16,16,20,80,60,20,20,20,20,20,20,20,15,20,20,20,15,15,20,20,60,40,20,15,60,20,15,15,15,15,10,10,10,10,10,23,0,0
1705736580,16,16,16,16,16,15,15,15,16,16,16,16,15,15,15,12,48,36,12,12,12,12,12,12,12,16,12,12,12,16,16,12,12,36,24,12,16,36,12,16,16,16,16,10,21,21,10,10,23,0,0
1705736595,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,13,52,39,13,13,13,13,13,13,13,16,13,13,13,16,16,13,13,39,26,13,16,39,13,16,16,16,16,10,14,14,10,10,0,0,0
1705736610,14,14,14,14,14,12,12,12,14,14,14,14,12,12,12,21,84,63,21,21,21,21,21,21,21,12,21,21,21,12,12,21,21,63,42,21,12,63,21,12,12,12,12,10,12,12,10,10,46,0,0
1705736625,15,15,15,15,15,14,14,14,15,15,15,15,14,14,14,10,40,30,10,10,10,10,10,10,10,14,10,10,10,14,14,10,10,30,20,10,14,30,10,14,14,14,14,10,19,19,10,10,0,0,0
1705736640,21,21,21,21,21,23,23,23,21,21,21,21,23,23,23,12,48,36,12,12,12,12,12,12,12,23,12,12,12,23,23,12,12,36,24,12,23,36,12,23,23,23,23,10,12,12,10,10,46,0,0
1705736655,8,8,8,8,8,14,14,14,8,8,8,8,14,14,14,23,92,69,23,23,23,23,23,23,23,14,23,23,23,14,14,23,23,69,46,23,14,69,23,14,14,14,14,10,18,18,10,10,0,0,0
1705736670,15,15,15,15,15,12,12,12,15,15,15,15,12,12,12,14,56,42,14,14,14,14,14,14,14,12,14,14,14,12,12,14,14,42,28,14,12,42,14,12,12,12,12,10,17,17,10,10,23,0,0
1705736685,14,14,14,14,14,12,12,12,14,14,14,14,12,12,12,13,52,39,13,13,13,13,13,13,13,12,13,13,13,12,12,13,13,39,26,13,12,39,13,12,12,12,12,10,15,15,10,10,0,0,0
1705736700,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,15,60,45,15,15,15,15,15,15,15,16,15,15,15,16,16,15,15,45,30,15,16,45,15,16,16,16,16,10,14,14,10,10,23,0,0
1705736715,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,60,45,15,15,15,15,15,15,15,19,15,15,15,19,19,15,15,45,30,15,19,45,15,19,19,19,19,10,14,14,10,10,23,0,0
1705736730,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,60,45,15,15,15,15,15,15,15,13,15,15,15,13,13,15,15,45,30,15,13,45,15,13,13,13,13,10,17,17,10,10,0,0,0
1705736745,11,12,12,12,12,16,16,16,12,12,12,12,16,16,16,17,68,51,17,17,17,17,17,17,17,16,17,17,17,16,16,17,17,51,34,17,16,51,17,16,16,16,16,10,17,17,10,10,0,0,0
1705736760,25,25,25,25,25,15,15,15,25,25,25,25,15,15,15,12,48,36,12,12,12,12,12,12,12,15,12,12,12,15,15,12,12,36,24,12,15,36,12,15,15,15,15,10,11,11,10,10,0,0,0
1705736775,10,10,10,10,10,19,19,19,10,10,10,10,19,19,19,21,84,63,21,21,21,21,21,21,21,19,21,21,21,19,19,21,21,63,42,21,19,63,21,19,19,19,19,10,14,14,10,10,0,1,0
1705736790,14,14,14,14,14,13,13,13,14,14,14,14,13,13,13,17,68,51,17,17,17,17,17,17,17,13,17,17,17,13,13,17,17,51,34,17,13,51,17,13,13,13,13,10,22,22,10,10,23,0,0
1705736805,18,18,18,18,18,15,15,15,18,18,18,18,15,15,15,11,44,33,11,11,11,11,11,11,11,15,11,11,11,15,15,11,11,33,22,11,15,33,11,15,15,15,15,10,15,15,10,10,0,0,0
1705736820,20,20,20,20,20,23,23,23,20,20,20,20,23,23,23,18,72,54,18,18,18,18,18,18,18,23,18,18,18,23,23,18,18,54,36,18,23,54,18,23,23,23,23,10,12,12,10,10,23,0,0
1705736835,13,13,13,13,13,16,16,16,13,13,13,13,16,16,16,21,84,63,21,21,21,21,21,21,21,16,21,21,21,16,16,21,21,63,42,21,16,63,21,16,16,16,16,10,23,23,10,10,0,0,0
1705736850,17,17,17,17,17,7,7,7,17,17,17,17,7,7,7,15,60,45,15,15,15,15,15,15,15,7,15,15,15,7,7,15,15,45,30,15,7,45,15,7,7,7,7,10,19,19,10,10,0,0,0
1705736865,18,18,18,18,18,24,24,24,18,18,18,18,24,24,24,14,56,42,14,14,14,14,14,14,14,24,14,14,14,23,23,14,14,42,28,14,23,42,14,23,23,23,23,10,8,8,10,10,23,0,0
1705736880,11,11,11,11,11,14,14,14,11,11,11,11,14,14,14,17,68,51,17,17,17,17,17,17,17,14,17,17,17,15,15,17,17,51,34,17,15,51,17,15,15,15,15,10,16,16,10,10,23,0,0
1705736895,16,16,16,16,16,12,12,12,16,16,16,16,12,12,12,11,44,33,11,11,11,11,11,11,11,12,11,11,11,12,12,11,11,33,22,11,12,33,11,12,12,12,12,10,18,18,10,10,0,0,0
1705736910,12,12,12,12,12,10,10,10,12,12,12,12,10,10,10,18,72,54,18,18,18,18,18,18,18,10,18,18,18,10,10,18,18,54,36,18,10,54,18,10,10,10,10,10,13,13,10,10,0,0,0
1705736925,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,36,27,9,9,9,9,9,9,9,19,9,9,9,19,19,9,9,27,18,9,19,27,9,19,19,19,19,10,14,14,10,10,0,0,0
1705736940,12,12,12,12,12,16,16,16,12,12,12,12,16,16,16,21,84,63,21,21,21,21,21,21,21,16,21,21,21,16,16,21,21,63,42,21,16,63,21,16,16,16,16,10,11,11,10,10,0,0,0
1705736955,13,13,13,13,13,12,12,12,13,13,13,13,12,12,12,14,56,42,14,14,14,14,14,14,14,12,14,14,14,12,12,14,14,42,28,14,12,42,14,12,12,12,12,10,21,21,10,10,0,0,0
1705736970,17,17,17,17,17,15,15,15,17,17,17,17,15,15,15,11,44,33,11,11,11,11,11,11,11,15,11,11,11,15,15,11,11,33,22,11,15,33,11,15,15,15,15,10,12,12,10,10,0,0,0
1705736985,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,16,64,48,16,16,16,16,16,16,16,15,16,16,16,15,15,16,16,48,32,16,15,48,16,15,15,15,15,10,13,13,10,10,23,0,0
1705737000,13,13,13,13,13,17,17,17,13,13,13,13,17,17,17,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,54,36,18,18,54,18,18,18,18,18,10,19,19,10,10,0,1,0
1705737015,17,17,17,17,17,11,11,11,17,17,17,17,11,11,11,14,56,42,14,14,14,14,14,14,14,11,14,14,14,11,11,14,14,42,28,14,11,42,14,11,11,11,11,10,18,18,10,10,0,0,0
1705737030,19,19,19,19,19,25,25,25,19,19,19,19,25,25,25,11,44,33,11,11,11,11,11,11,11,25,11,11,11,25,25,11,11,33,22,11,25,33,11,25,25,25,24,10,9,9,10,10,0,0,0
1705737045,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,96,72,24,24,24,24,24,24,24,10,24,24,24,10,10,24,24,72,48,24,10,72,24,10,10,10,11,10,16,16,10,10,23,0,0
1705737060,18,18,18,18,18,13,13,13,18,18,18,18,13,13,13,9,36,27,9,9,9,9,9,9,9,13,9,9,9,13,13,9,9,27,18,9,13,27,9,13,13,13,13,10,21,21,10,10,46,0,0
1705737075,16,16,16,16,16,17,17,17,16,16,16,16,17,17,17,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,51,34,17,17,51,17,17,17,17,17,10,11,11,10,10,0,0,0
1705737090,12,12,12,12,12,13,13,13,12,12,12,12,13,13,13,11,44,33,11,11,11,11,11,11,11,13,11,11,11,13,13,11,11,33,22,11,13,33,11,13,13,13,13,10,13,13,10,10,23,0,0
1705737105,15,15,15,15,15,18,18,18,15,15,15,15,18,18,18,21,84,63,21,21,21,21,21,21,21,18,21,21,20,18,18,20,20,60,40,20,18,60,20,18,18,18,18,10,15,15,10,10,0,0,0
1705737120,20,20,20,20,20,19,19,19,20,20,20,20,19,19,19,12,48,36,12,12,12,12,12,12,12,19,12,12,13,19,19,13,13,39,26,13,19,39,13,19,19,19,19,10,18,18,10,10,46,0,0
1705737135,12,12,12,12,12,8,8,8,12,12,12,12,8,8,8,22,88,66,22,22,22,22,22,22,22,8,22,22,22,8,8,22,22,66,44,22,8,66,22,8,8,8,8,10,16,16,10,10,0,0,0
1705737150,10,10,10,10,10,15,15,15,10,10,10,10,15,15,15,7,28,21,7,7,7,7,7,7,7,15,7,7,7,15,15,7,7,21,14,7,15,21,7,15,15,15,15,10,18,18,10,10,0,0,0
1705737165,21,21,21,21,21,13,13,13,21,21,21,21,13,13,13,12,48,36,12,12,12,12,12,12,12,13,12,12,12,13,13,12,12,36,24,12,13,36,12,13,13,13,13,10,6,6,10,10,0,0,0
1705737180,14,14,14,14,14,25,25,25,14,14,14,14,25,25,25,19,76,57,19,19,19,19,19,19,19,25,19,19,18,25,25,18,18,54,36,18,25,54,18,25,25,25,25,10,13,13,10,10,0,0,0
1705737195,10,10,10,10,10,8,8,8,10,10,10,10,8,8,8,17,68,51,17,17,17,17,17,17,17,8,17,17,18,8,8,18,18,54,36,18,8,54,18,8,8,8,8,10,24,24,10,10,0,0,0
1705737210,21,21,21,21,21,16,16,16,21,21,21,21,16,16,16,11,44,33,11,11,11,11,11,11,11,16,11,11,11,16,16,11,11,33,22,11,16,33,11,16,16,16,16,10,12,12,10,10,23,0,0
1705737225,18,18,18,18,18,19,19,19,18,18,18,18,19,19,19,17,68,51,17,17,17,17,17,17,17,19,17,17,17,19,19,17,17,51,34,17,19,51,17,19,19,19,19,10,14,14,10,10,0,0,0
1705737240,13,13,13,13,13,16,16,16,13,13,13,13,16,16,16,20,80,60,20,20,20,20,20,20,20,16,20,20,20,16,16,20,20,60,40,20,16,60,20,16,16,16,16,10,15,15,10,10,23,0,0
1705737255,10,10,10,10,10,12,12,12,10,10,10,10,12,12,12,15,60,45,15,15,15,15,15,15,15,12,15,15,15,12,12,15,15,45,30,15,12,45,15,12,12,12,12,10,21,21,10,10,46,0,0
1705737270,16,16,16,16,16,12,12,12,16,16,16,16,12,12,12,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,36,24,12,12,36,12,12,12,12,11,10,16,16,10,10,23,0,0
1705737285,23,23,23,23,23,21,21,21,23,23,23,23,20,20,20,14,56,42,14,14,14,14,14,14,14,20,14,14,14,20,20,14,14,42,28,13,20,42,14,20,20,20,21,10,7,7,10,10,0,0,0
1705737300,12,12,12,12,12,17,17,17,12,12,12,12,18,18,18,21,84,63,21,21,21,21,21,21,21,18,21,21,21,18,17,21,21,63,42,22,17,63,21,17,17,17,17,10,18,17,10,10,0,0,0
1705737315,12,12,12,12,12,11,11,11,12,12,12,12,11,11,11,12,48,36,12,12,12,12,12,12,12,11,12,12,12,11,12,12,12,36,24,12,12,36,12,12,12,12,12,10,19,20,10,10,0,0,0
1705737330,21,21,21,21,21,16,16,16,21,21,21,21,16,16,16,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,48,32,16,16,48,16,16,16,16,16,10,12,12,10,10,0,0,0
1705737345,10,10,10,10,10,17,17,17,10,10,10,10,17,17,17,16,63,48,16,16,16,16,15,15,15,17,15,15,15,17,17,15,15,45,30,15,17,45,15,17,17,17,17,10,15,15,10,10,0,0,0
1705737360,16,16,16,16,16,13,13,13,16,15,15,15,13,13,13,15,61,45,15,15,15,15,16,16,16,13,16,16,16,13,13,16,16,48,32,16,13,48,16,13,13,13,13,10,19,19,10,10,0,2,0
1705737375,13,13,13,13,13,13,13,13,13,14,14,14,13,13,13,16,64,48,16,16,16,16,16,16,16,13,16,16,16,13,13,16,16,48,32,16,13,48,16,13,13,13,13,10,17,17,10,10,0,0,0
1705737390,20,20,20,20,20,18,18,18,20,20,20,20,18,18,18,9,36,27,9,9,9,9,9,9,9,18,9,9,9,18,18,9,9,27,18,9,18,27,9,18,18,18,18,10,12,12,10,10,23,0,0
1705737405,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,80,60,20,20,20,20,20,20,20,18,20,20,20,18,18,20,20,60,40,20,18,60,20,18,18,18,18,10,9,9,10,10,0,0,0
1705737420,9,9,9,9,9,12,12,12,9,9,9,9,12,12,12,18,72,54,18,18,18,18,18,18,18,12,18,18,18,12,12,18,18,54,36,18,12,54,18,12,12,12,12,10,20,20,10,10,0,0,0
1705737435,17,17,17,17,17,15,15,15,17,17,17,17,15,15,15,14,56,42,14,14,14,14,14,14,14,15,14,14,14,15,15,14,14,42,28,14,15,42,14,15,15,15,15,10,18,18,10,10,23,0,0
1705737450,16,16,16,16,16,17,17,17,16,16,16,16,17,17,17,13,52,39,13,13,13,13,13,13,13,17,13,13,13,17,17,13,13,39,26,13,17,39,13,17,17,17,17,10,15,15,10,10,23,0,0
1705737465,17,17,17,17,17,14,14,14,17,17,17,17,14,14,14,19,76,57,19,19,19,19,19,19,19,14,19,19,19,14,14,18,18,54,36,18,14,54,18,14,14,14,14,10,16,16,10,10,46,0,0
1705737480,12,12,12,12,12,21,21,21,12,12,12,12,21,21,21,15,60,45,15,15,15,15,15,15,15,21,15,15,15,21,21,16,16,48,32,16,21,48,16,21,21,21,20,10,14,14,10,10,0,0,0
1705737495,19,19,19,19,19,10,10,10,19,19,19,19,10,10,10,15,60,45,15,15,15,15,15,15,15,10,15,15,15,10,10,15,15,45,30,15,10,45,15,10,10,10,11,10,17,17,10,10,0,0,0
1705737510,17,17,17,17,17,16,16,16,17,17,17,17,16,16,16,14,55,42,14,14,14,14,13,13,13,15,13,13,13,15,15,13,13,39,26,13,15,39,13,15,15,15,15,10,16,16,10,10,0,0,0
1705737525,11,11,11,11,11,16,16,16,11,11,11,11,16,16,16,15,61,45,15,15,15,15,16,16,16,17,16,16,16,17,17,16,16,48,32,16,17,48,16,17,17,17,17,10,11,11,10,10,0,0,0
1705737540,17,17,17,17,17,15,15,15,17,17,17,17,15,15,15,16,64,48,16,16,16,16,16,16,16,15,16,16,16,15,15,16,16,48,32,16,15,48,16,15,15,15,15,10,20,20,10,10,0,0,0
1705737555,17,17,17,17,17,16,16,16,17,17,17,17,16,16,15,15,59,45,15,15,15,15,14,14,14,15,14,14,14,15,15,14,14,42,28,14,15,42,14,15,15,15,15,10,15,15,10,10,46,0,0
1705737570,14,14,14,14,14,19,19,19,14,14,14,14,19,19,20,15,61,45,15,15,15,15,16,16,16,20,16,16,16,20,20,16,16,48,32,16,20,48,16,20,20,20,20,10,16,16,10,10,23,0,1
1705737585,15,15,15,15,15,13,13,13,15,15,15,15,13,13,13,18,72,54,18,18,18,18,18,18,18,13,18,18,18,13,13,18,18,54,36,18,13,54,18,13,13,13,12,10,15,15,10,10,23,0,0
1705737600,12,12,12,12,12,13,13,13,12,12,12,12,13,13,13,15,60,45,15,15,15,15,15,15,15,13,15,15,15,13,13,15,15,45,30,15,13,45,15,13,13,13,14,10,17,17,10,10,23,0,0
1705737615,20,20,20,20,20,18,18,18,20,20,20,20,18,18,18,12,48,36,12,12,12,12,12,12,12,18,12,12,12,17,17,12,12,36,24,12,17,36,12,17,17,17,17,10,14,14,10,10,0,0,0
1705737630,16,16,16,16,16,10,9,9,16,16,16,16,9,9,9,17,68,51,17,17,17,17,17,17,17,9,17,17,17,10,10,17,17,51,34,17,10,51,17,10,10,10,10,10,12,12,10,10,0,0,0
1705737645,11,11,11,11,11,19,20,20,11,11,11,11,20,20,20,11,44,33,11,11,11,11,11,11,11,20,11,11,11,20,20,11,11,33,22,11,20,33,11,20,20,20,20,10,16,16,10,10,0,0,0
1705737660,15,15,15,15,15,12,12,12,15,15,15,15,12,12,12,19,76,57,19,19,19,19,19,19,19,12,19,19,19,12,12,19,19,57,38,19,11,57,19,11,11,11,11,10,17,17,10,10,0,0,0
1705737675,20,20,20,20,20,18,18,18,20,20,20,20,18,18,18,12,48,36,12,12,12,12,12,12,12,18,12,12,12,18,18,12,12,36,24,12,19,36,12,19,19,19,19,10,13,13,10,10,46,0,0
1705737690,11,11,11,11,11,17,17,17,11,11,11,11,17,17,17,20,80,60,20,20,20,20,20,20,20,17,20,20,20,17,17,20,20,60,40,20,17,60,20,17,17,17,17,10,13,13,10,10,46,0,0
1705737705,14,14,14,14,14,6,6,6,14,14,14,14,6,6,6,12,48,36,12,12,12,12,12,12,12,6,12,12,12,6,6,12,12,36,24,12,6,36,12,6,6,6,6,6,12,12,6,6,0,0,0
