time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,payment_22,catalogue_23,front-end_24,front-end_25,user_26,front-end_27,front-end_28,user_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,catalogue_35,front-end_36,front-end_37,front-end_38,user_39,front-end_40,user_41,front-end_42,front-end_43,front-end_44,front-end_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,orders-db_51
1705754625,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,2,2,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0,0,0
1705754640,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,22,22,11,11,11,11,11,11,12,12,12,12,12,12,12,12,10,13,13,13,13,13,13,13,13,13,23,0,0
1705754655,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,23,0,0
1705754670,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,21,21,21,21,21,21,21,21,21,23,0,0
1705754685,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,13,13,13,13,13,13,13,13,13,23,0,0
1705754700,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,15,15,15,15,15,15,15,15,15,23,0,0
1705754715,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,10,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,14,14,14,14,14,14,14,14,14,0,0,0
1705754730,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,0,0,0
1705754745,18,72,54,18,18,18,18,18,18,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,12,12,12,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,13,13,13,13,23,0,0
1705754760,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,20,20,20,21,21,21,20,20,20,20,20,20,20,20,10,18,18,18,18,18,18,18,18,18,0,0,0
1705754775,17,68,51,17,17,17,17,16,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,12,16,16,16,16,16,16,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,0,1,0
1705754790,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,19,19,15,15,15,15,15,15,15,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,14,23,0,0
1705754805,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,23,0,0
1705754820,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,14,14,14,14,14,14,14,14,14,0,0,0
1705754835,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,16,16,16,16,16,16,16,16,16,0,0,0
1705754850,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,23,0,0
1705754865,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,23,0,0
1705754880,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,16,16,16,16,16,16,16,16,16,0,0,0
1705754895,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,11,11,11,11,11,11,11,11,11,11,11,11,11,12,10,11,11,11,11,11,11,11,11,11,0,0,0
1705754910,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,21,21,21,21,21,21,21,21,21,23,0,0
1705754925,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,13,13,13,13,13,13,13,13,13,46,0,0
1705754940,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,18,18,18,18,18,18,18,18,18,0,0,0
1705754955,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,10,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,0,0,0
1705754970,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,22,22,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,12,12,12,12,0,0,0
1705754985,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,0,0,0
1705755000,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,23,0,2
1705755015,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,20,20,20,20,20,20,19,19,19,19,19,19,19,19,10,17,17,17,17,17,17,17,17,17,0,0,0
1705755030,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,14,14,14,14,14,14,14,14,14,23,0,0
1705755045,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,18,18,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755060,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,46,0,0
1705755075,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,12,12,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,24,24,24,24,24,24,24,24,24,23,0,0
1705755090,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,0,0,0
1705755105,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,20,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,19,19,19,19,19,19,19,23,0,0
1705755120,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,13,13,22,22,22,22,22,22,22,22,22,22,22,22,22,21,10,16,16,16,16,16,16,16,16,16,0,0,0
1705755135,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,10,12,12,12,12,12,12,12,12,12,23,0,0
1705755150,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,0,0,0
1705755165,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,21,21,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755180,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,0,0,0
1705755195,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,15,14,19,19,19,19,19,19,20,20,20,18,18,18,18,18,10,15,15,15,15,15,15,15,15,15,0,0,0
1705755210,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,16,17,16,16,16,16,16,16,16,16,16,18,18,18,18,18,10,18,18,18,18,18,18,18,18,18,46,0,0
1705755225,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,17,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,0,0,0
1705755240,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,20,20,20,20,20,20,20,20,20,23,0,0
1705755255,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,46,0,0
1705755270,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,23,0,0
1705755285,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,0,0,0
1705755300,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,16,16,16,16,16,16,16,16,16,0,0,0
1705755315,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,12,12,12,12,12,12,12,12,12,0,0,0
1705755330,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,19,19,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,19,19,19,19,19,19,19,19,19,0,0,0
1705755345,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,11,11,21,21,21,21,21,21,22,22,22,22,22,22,22,22,10,21,21,21,21,21,21,21,21,21,23,0,0
1705755360,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,10,9,9,9,9,9,9,9,9,9,23,0,0
1705755375,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,24,24,11,11,12,12,12,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,14,14,0,0,0
1705755390,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,23,0,0
1705755405,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,9,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,21,21,21,21,21,21,21,21,21,0,0,0
1705755420,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,19,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,23,0,0
1705755435,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755450,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,21,21,21,21,21,21,21,21,21,0,0,0
1705755465,19,76,57,19,19,19,19,19,19,18,18,18,18,18,18,54,54,18,36,18,10,10,14,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,13,13,13,13,13,13,13,13,13,0,0,0
1705755480,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,10,10,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,0,0,0
1705755495,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,0,0,0
1705755510,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,14,14,23,0,0
1705755525,18,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,46,0,0
1705755540,13,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,18,18,18,17,17,17,17,17,17,17,17,17,17,17,10,20,20,20,20,20,20,20,20,20,0,0,0
1705755555,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,11,11,16,16,16,17,17,17,17,17,17,17,17,17,17,17,10,12,12,12,12,12,12,12,12,12,0,0,0
1705755570,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,17,17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,23,0,0
1705755585,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,21,21,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,14,14,14,14,14,14,14,14,14,0,0,0
1705755600,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,17,17,17,17,17,17,17,17,17,46,0,0
1705755615,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,16,16,16,16,16,16,15,15,15,15,15,15,15,15,10,21,21,21,21,21,21,21,21,21,23,0,0
1705755630,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,13,13,19,19,19,19,19,19,20,20,20,20,20,20,20,20,10,11,11,11,11,11,11,11,11,11,0,0,0
1705755645,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,21,21,13,13,13,13,13,13,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,23,0,0
1705755660,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,12,12,15,15,15,15,15,15,16,16,16,16,16,16,16,16,10,23,23,23,23,23,23,23,23,23,23,0,0
1705755675,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,23,0,0
1705755690,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,9,9,9,9,9,9,9,9,9,0,0,0
1705755705,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755720,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,10,12,12,12,12,12,12,12,12,12,0,0,0
1705755735,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,17,10,18,18,18,18,18,18,18,18,18,23,0,0
1705755750,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,16,16,16,16,16,16,16,16,16,0,0,0
1705755765,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,0,0,0
1705755780,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,20,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,14,14,14,14,14,14,14,14,14,23,0,0
1705755795,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,46,0,0
1705755810,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,23,0,0
1705755825,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,13,13,13,13,13,13,13,13,13,0,0,0
1705755840,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755855,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,23,0,0
1705755870,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,12,12,12,12,0,0,0
1705755885,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,20,20,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,15,15,15,15,15,15,15,15,15,23,0,0
1705755900,12,46,32,12,12,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,10,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,20,20,20,20,20,20,20,20,20,46,0,0
1705755915,17,70,55,17,17,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,16,16,16,16,16,15,15,15,15,23,0,0
1705755930,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,12,12,12,12,12,13,13,13,13,23,0,0
1705755945,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,0,0,0
1705755960,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,46,0,0
1705755975,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,17,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,13,13,13,13,13,13,13,13,13,46,0,0
1705755990,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,19,19,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,12,12,12,12,12,12,12,12,12,23,0,0
1705756005,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,11,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,22,22,22,22,22,22,22,22,22,0,0,0
1705756020,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,17,10,14,14,14,14,14,14,14,14,14,23,0,0
1705756035,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,20,20,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,23,0,0
1705756050,7,28,21,7,7,7,7,7,7,7,7,7,7,7,7,21,21,7,14,7,10,10,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,23,0,0
1705756065,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,8,8,5,5,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,8,8,8,8,8,8,8,8,8,23,0,0
