time,catalogue_1,catalogue_2,front-end_3,front-end_4,user_5,front-end_6,front-end_7,user_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,front-end_18,user_19,front-end_20,front-end_21,front-end_22,front-end_23,front-end_24,front-end_25,front-end_26,payment_27,user_28,front-end_29,user_30,front-end_31,front-end_32,front-end_33,front-end_34,front-end_35,user_36,user_37,orders_38,payment_39,orders_40,shipping_41,queue-master_42,queue-master_43,queue-master_44,queue-master_45,queue-master_46,front-end_47,front-end_48,carts_49,user_50,user_51,user_52
1705766145,4,4,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7,7,7,7,4,4,4,16,12,4,4,4,4,4,4,4,4,4,4,4,4,12,12,4,8,4,0,0,0,0
1705766160,10,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,13,13,13,13,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0
1705766175,10,17,17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0
1705766190,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,10,10,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,1,0,0
1705766205,10,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0
1705766220,10,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,13,13,13,10,10,20,80,60,20,20,20,20,20,20,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0
1705766235,10,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766250,10,12,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0
1705766265,10,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,17,68,51,17,17,17,17,17,17,17,17,17,16,16,16,48,48,16,32,16,0,0,0,0
1705766280,10,21,21,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,17,18,18,18,54,54,18,36,18,23,0,0,0
1705766295,10,14,14,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0
1705766310,10,20,20,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,23,0,0,0
1705766325,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0
1705766340,10,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,14,14,14,14,14,14,14,14,14,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0
1705766355,10,14,14,17,17,17,17,17,17,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0
1705766370,10,15,15,11,11,11,11,11,11,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,0,0,0,0
1705766385,10,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0
1705766400,10,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,13,13,13,10,10,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,0,0,0,0
1705766415,10,19,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,10,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,0,0,0,0
1705766430,10,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,15,20,20,20,20,20,20,20,20,20,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0
1705766445,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0
1705766460,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0
1705766475,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,20,20,20,20,20,20,20,20,20,10,10,11,44,33,11,11,11,11,11,11,11,11,11,10,10,10,30,30,10,20,10,0,0,0,0
1705766490,10,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,13,14,14,14,42,42,14,28,14,23,0,0,0
1705766505,10,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,21,83,63,21,21,21,21,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0,0
1705766520,10,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,10,10,11,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0
1705766535,10,14,14,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0
1705766550,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0,0
1705766565,10,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766580,10,13,13,15,15,15,15,15,15,15,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0
1705766595,10,13,13,20,20,20,20,20,20,19,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0
1705766610,10,18,18,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766625,10,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0
1705766640,10,17,17,20,20,20,20,20,20,19,19,19,19,19,19,19,19,23,23,23,23,23,23,23,23,23,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766655,10,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,12,12,12,12,12,12,12,12,12,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,46,0,0,0
1705766670,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0
1705766685,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0
1705766700,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766715,10,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,16,5,5,5,5,5,5,5,5,5,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,69,0,0,0
1705766730,10,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,13,25,25,25,25,25,25,25,25,25,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0
1705766745,10,10,10,19,19,19,19,20,20,20,20,20,20,20,20,20,20,12,12,12,12,12,12,12,12,12,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766760,10,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0
1705766775,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,19,19,19,19,19,19,19,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0,0
1705766790,10,16,16,17,17,17,17,17,17,17,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,10,10,16,63,48,16,16,16,16,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0
1705766805,10,19,19,17,17,17,17,17,17,17,18,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,10,10,12,45,33,11,11,11,11,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0
1705766820,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,10,10,19,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,23,0,0,0
1705766835,10,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,15,15,15,15,15,15,15,15,15,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0
1705766850,10,14,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,17,17,10,10,16,64,48,16,16,16,16,16,16,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0
1705766865,10,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,12,12,12,12,12,12,12,12,12,10,10,14,56,42,14,14,14,14,14,14,15,15,14,14,14,14,42,42,14,28,14,0,0,0,0
1705766880,10,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20,20,10,10,13,52,39,13,13,13,13,13,13,13,13,14,14,14,14,42,42,14,28,14,0,0,0,0
1705766895,10,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0
1705766910,10,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,0,0,0,0
1705766925,10,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,19,18,19,19,19,19,19,19,19,10,10,17,68,51,17,17,17,17,17,17,17,17,16,16,16,16,48,48,16,32,16,0,0,1,0
1705766940,10,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16,16,10,10,14,56,42,14,14,14,14,14,14,14,14,15,15,15,15,45,45,15,30,15,0,0,0,0
1705766955,10,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705766970,10,18,18,15,15,15,15,15,15,15,14,14,14,14,14,14,14,16,16,16,16,16,15,15,15,15,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,23,0,0,0
1705766985,10,14,14,16,16,16,16,16,16,16,17,17,17,17,17,17,17,12,12,12,12,12,13,13,13,13,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0
1705767000,10,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,10,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,23,0,0,0
1705767015,10,14,14,20,20,20,20,20,20,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,46,0,0,0
1705767030,10,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,23,0,0,0
1705767045,10,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,18,18,18,18,18,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,0,0,0,0
1705767060,10,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,17,12,12,12,12,12,12,12,12,12,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0
1705767075,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,15,19,19,19,19,19,19,19,19,19,10,10,17,68,51,17,17,17,17,17,17,17,17,16,16,16,16,48,48,16,32,16,0,0,0,0
1705767090,10,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,16,64,48,16,16,16,16,16,16,16,16,17,17,17,17,51,51,17,34,17,0,0,0,0
1705767105,10,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,23,0,0,0
1705767120,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,10,10,20,80,60,20,20,20,20,20,20,20,20,19,19,19,19,57,57,19,38,19,23,0,0,0
1705767135,10,17,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,10,10,13,52,39,13,13,13,13,13,13,13,13,14,14,14,14,42,42,14,28,14,23,0,0,0
1705767150,10,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,14,14,14,14,14,14,14,14,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0,0
1705767165,10,17,17,15,15,15,15,15,15,15,14,14,14,14,14,14,14,17,17,17,17,17,16,16,16,16,10,10,17,68,51,17,17,17,17,17,17,17,17,16,16,16,16,48,48,16,32,16,23,0,0,0
1705767180,10,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,15,15,15,15,15,16,16,16,16,10,10,13,52,39,13,13,13,13,13,13,13,13,14,14,14,14,42,42,14,28,14,23,0,0,0
1705767195,10,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,13,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,0,0,0,0
1705767210,10,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,13,13,13,13,13,13,13,13,13,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0
1705767225,10,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,10,10,17,68,51,17,17,17,17,17,17,17,17,16,16,16,16,48,48,16,32,16,0,0,0,0
1705767240,10,15,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0
1705767255,10,17,17,21,21,21,21,21,21,21,21,21,21,21,21,21,21,12,12,13,13,13,13,13,13,13,10,10,12,48,36,12,12,12,12,12,12,12,12,13,13,13,13,39,39,13,26,13,23,0,0,0
1705767270,10,15,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,0,0,0,0
1705767285,10,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,46,0,0,0
1705767300,10,18,18,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,10,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,0,0,0,0
1705767315,10,14,14,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,20,20,20,20,10,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0
1705767330,10,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,22,88,66,22,22,22,22,22,22,22,22,21,21,21,21,63,63,21,42,21,69,0,0,0
1705767345,10,19,19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,10,10,9,36,27,9,9,9,9,9,9,9,9,10,10,10,10,30,30,10,20,10,23,0,0,0
1705767360,10,9,9,21,21,21,21,21,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,23,0,0,0
1705767375,10,21,21,11,11,11,11,11,12,12,12,12,12,12,12,12,12,6,6,6,6,6,6,6,6,6,10,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,0,0,0,0
1705767390,10,19,19,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19,19,19,18,18,18,18,10,10,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,0,0,0,0
1705767405,10,7,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0
1705767420,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,10,10,10,10,10,10,10,10,10,10,21,84,63,21,21,21,21,21,21,20,20,20,20,20,20,60,60,20,40,20,0,0,0,0
1705767435,10,23,23,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,10,10,12,48,36,12,12,12,12,12,12,13,13,13,13,13,13,39,39,13,26,13,0,0,0,0
1705767450,10,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,23,0,0,0
1705767465,10,13,13,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,10,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,0,0,0,0
1705767480,10,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,19,76,57,19,19,19,19,19,19,19,19,18,18,18,18,54,54,18,36,18,23,0,0,0
1705767495,10,12,12,9,9,9,9,9,9,9,9,9,9,9,9,9,9,17,17,17,17,17,17,17,17,17,10,9,12,48,36,12,12,12,12,12,12,12,12,13,13,13,13,39,39,13,26,13,23,0,0,1
1705767510,10,13,13,26,26,26,26,26,26,26,26,26,26,26,26,26,26,22,22,22,22,22,22,22,22,22,10,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,0,0,0,0
1705767525,10,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,46,0,0,0
1705767540,10,21,21,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,10,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,23,0,0,0
1705767555,10,7,7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,10,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,46,0,0,0
1705767570,10,18,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,23,0,0,0
1705767585,6,13,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,10,10,10,10,10,10,10,6,6,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,0,0,0,0
