time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,front-end_8,front-end_9,front-end_10,front-end_11,front-end_12,front-end_13,catalogue_14,front-end_15,front-end_16,front-end_17,catalogue_18,front-end_19,payment_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,user_28,user_29,orders_30,payment_31,orders_32,shipping_33,queue-master_34,queue-master_35,queue-master_36,queue-master_37,queue-master_38,front-end_39,front-end_40,user_41,catalogue_42,front-end_43,user_44,front-end_45,front-end_46,user_47,front-end_48,user_49,carts_50,user_51,carts_52,user-db_53,user_54,payment_55,payment_56,orders_57,orders_58,front-end_59,front-end_60,orders_61,user_62
1705773195,3,3,1,3,3,3,1,1,3,3,3,3,1,1,1,1,1,2,2,2,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773210,12,12,15,12,12,12,15,15,12,12,12,12,15,15,15,15,15,16,16,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773225,16,16,10,16,16,16,10,10,16,16,16,16,10,10,10,10,10,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773240,17,17,19,17,17,17,19,19,17,17,17,17,19,19,19,19,19,13,13,10,13,52,39,13,13,13,13,13,12,13,13,13,13,13,13,39,39,13,26,13,10,10,19,19,19,19,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773255,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773270,14,14,15,14,14,14,15,15,14,14,14,14,15,15,15,15,15,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773285,19,19,17,19,19,19,17,17,19,19,19,19,17,17,17,17,17,18,18,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773300,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,13,13,13,13,13,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773315,17,17,21,17,17,17,21,21,17,17,17,17,21,21,21,21,21,19,19,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,21,21,21,21,21,21,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773330,12,12,10,12,12,12,10,10,12,12,12,12,10,10,10,10,10,15,15,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,10,10,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773345,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773360,15,15,13,15,15,15,13,13,15,15,15,15,13,13,13,13,13,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773375,14,14,16,14,14,14,16,16,14,14,14,14,16,16,16,16,16,12,12,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773390,19,19,17,19,19,19,17,17,19,19,19,19,17,17,17,17,17,14,14,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773405,10,10,15,10,10,10,15,15,10,10,10,10,15,15,15,15,15,18,18,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773420,19,19,18,19,19,19,18,18,19,19,19,19,18,18,18,18,18,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773435,20,20,16,20,20,20,16,16,20,20,20,20,16,16,16,16,16,11,11,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,18,17,17,17,16,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773450,12,12,13,12,12,12,13,13,12,12,12,12,13,13,13,13,13,20,20,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,12,13,13,13,14,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773465,17,17,15,17,17,17,15,15,17,17,17,17,15,15,15,15,15,14,14,10,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,14,14,14,14,14,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773480,13,13,16,13,13,13,16,16,13,13,13,13,16,16,16,16,16,13,13,10,13,51,37,13,13,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,16,16,16,16,16,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773495,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,10,16,65,50,16,16,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773510,13,13,12,13,13,13,12,12,13,13,13,13,12,12,12,12,12,15,15,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,11,11,11,11,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773525,17,17,16,17,17,17,16,16,17,17,17,17,16,16,16,16,16,17,17,10,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,16,16,16,16,16,16,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773540,16,16,17,16,16,16,17,17,16,16,16,16,17,17,17,17,17,10,10,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773555,12,12,16,12,12,12,16,16,12,12,12,12,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,16,16,16,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773570,13,13,10,13,13,13,10,10,13,13,13,13,10,10,10,10,10,16,16,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773585,22,22,16,22,22,22,16,16,22,22,22,22,16,16,16,16,16,16,16,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773600,10,10,20,10,10,10,20,20,10,10,10,10,20,20,20,20,20,12,12,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,20,20,20,20,20,20,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773615,18,18,11,18,18,18,11,11,18,18,18,18,11,11,11,11,11,18,18,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,11,11,11,11,11,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773630,15,15,17,15,15,15,17,17,15,15,15,15,17,17,17,17,17,15,15,10,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,17,17,17,17,0,69,1,0,0,0,0,0,0,0,0,0,0,0
1705773645,14,14,15,14,14,14,15,15,14,14,14,14,15,15,15,15,15,16,16,10,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773660,15,15,14,15,15,15,14,14,15,15,15,15,14,14,14,14,14,17,17,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,14,14,14,14,14,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773675,13,13,15,13,13,13,15,15,13,13,13,13,15,15,15,15,15,12,12,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773690,15,15,13,15,15,15,13,13,15,15,15,15,13,13,13,13,13,19,19,10,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773705,19,19,22,19,19,19,22,22,19,19,19,19,22,22,22,22,22,9,9,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,22,22,22,22,22,22,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773720,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,19,19,10,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773735,18,18,10,18,18,18,10,10,18,18,18,18,10,10,10,10,10,16,16,10,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,10,10,10,10,10,10,10,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773750,19,19,22,19,19,19,22,22,19,19,19,19,22,22,22,22,22,12,12,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,22,22,22,22,22,22,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773765,17,17,19,17,17,17,19,19,17,17,17,17,19,19,19,19,19,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,19,19,19,19,19,19,0,69,0,0,0,0,0,0,0,0,0,0,0,0
1705773780,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,10,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,10,14,14,14,14,14,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1705773795,16,16,13,16,16,16,13,13,16,16,16,16,13,13,13,13,13,19,19,10,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,13,13,13,13,13,13,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773810,13,13,17,13,13,13,17,17,13,13,13,13,17,17,17,17,17,11,11,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773825,17,17,12,17,17,17,12,12,17,17,17,17,12,12,12,12,12,18,18,10,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773840,14,14,20,14,14,14,20,20,14,14,14,14,20,20,20,20,20,14,14,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773855,18,18,13,18,18,18,13,13,18,18,18,18,13,13,13,13,13,15,15,10,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773870,9,9,16,9,9,9,16,16,9,9,9,9,16,16,16,16,16,16,16,10,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773885,20,20,13,20,20,20,13,13,20,20,20,20,12,12,12,12,12,18,18,10,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,13,13,13,13,13,13,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773900,22,22,21,22,22,22,21,21,22,22,22,22,21,21,21,21,21,8,8,10,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,10,21,21,21,21,21,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1705773915,8,8,16,8,8,8,16,16,8,8,8,8,17,17,17,17,17,21,21,10,25,100,75,25,25,25,25,25,25,25,25,25,25,25,25,75,75,25,50,25,10,10,16,16,16,16,16,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773930,12,12,8,12,12,12,8,8,12,12,12,12,8,8,8,8,8,18,18,8,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705773945,21,21,18,21,21,21,18,18,21,21,21,21,18,18,18,18,18,12,12,9,10,40,30,10,10,10,10,10,10,10,10,9,9,9,9,27,27,9,18,9,10,10,18,18,18,18,18,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773960,15,15,17,15,15,15,17,17,15,15,15,15,17,17,17,17,17,11,11,6,19,76,57,19,19,19,19,19,19,19,19,20,20,20,20,60,60,20,40,20,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705773975,16,16,11,16,16,16,11,11,16,16,16,16,11,11,11,11,11,21,21,7,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705773990,18,18,23,18,18,18,23,23,18,18,18,18,23,23,23,23,23,15,15,9,16,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,23,23,23,23,23,23,0,46,0,0,0,1,0,0,0,0,0,0,0,0
1705774005,10,10,12,10,10,10,12,12,10,10,10,10,12,12,12,12,12,14,14,4,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,12,12,12,12,12,12,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705774020,13,13,11,13,13,13,11,11,13,13,13,13,11,11,11,11,11,19,19,0,14,56,42,14,14,14,14,14,14,14,5,5,5,5,5,15,15,5,10,5,10,10,11,11,11,11,11,11,0,0,0,0,0,0,1,1,234,9,18,9,0,0
1705774035,17,17,14,17,17,17,14,14,17,17,17,17,14,14,14,14,14,11,11,0,13,51,37,13,13,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,10,10,15,15,15,15,15,15,0,23,0,0,0,0,0,0,312,12,24,12,0,0
1705774050,15,15,22,15,15,15,22,22,15,15,15,15,22,22,22,22,22,13,13,0,10,41,32,10,10,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,10,10,21,21,21,21,21,21,0,0,0,0,0,0,0,0,286,11,22,11,0,0
1705774065,14,14,13,14,14,14,13,13,14,14,14,14,13,13,13,13,13,10,10,0,23,92,69,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,0,46,0,0,0,0,0,0,598,23,46,23,0,0
1705774080,14,14,13,14,14,14,13,13,13,13,13,13,13,13,13,13,13,21,21,0,12,48,36,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,312,12,24,12,0,0
1705774095,19,19,11,19,19,19,11,11,20,20,20,20,11,11,11,11,11,16,16,0,15,60,45,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,10,10,11,11,11,11,11,11,0,0,0,0,0,0,0,0,390,15,30,15,0,0
1705774110,12,12,18,12,12,12,18,18,12,12,12,12,18,18,18,18,18,10,10,0,9,36,27,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,10,10,18,18,18,18,18,18,0,0,0,0,0,0,0,0,234,9,18,9,0,0
1705774125,16,16,13,16,16,16,13,13,16,16,16,16,13,13,13,13,13,20,20,0,21,84,63,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,546,21,42,21,0,0
1705774140,21,21,22,21,21,21,22,22,21,21,21,21,22,22,22,22,22,11,11,0,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,10,10,22,22,22,22,22,22,0,0,0,0,0,0,0,0,416,16,32,16,0,0
1705774155,10,10,14,10,10,10,14,14,10,10,10,10,14,14,14,14,14,21,21,0,19,76,57,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,10,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,494,19,38,19,0,0
1705774170,14,14,13,14,14,14,13,13,14,14,14,14,13,13,13,13,13,15,15,0,13,52,39,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,338,13,26,13,0,0
1705774185,19,19,16,19,19,19,16,16,19,19,19,19,16,16,16,16,16,13,13,0,14,55,42,14,14,14,14,13,13,13,0,0,0,0,0,0,0,0,0,0,10,10,16,16,16,16,16,16,0,0,0,0,0,0,0,0,338,13,26,13,0,0
1705774200,9,9,17,9,9,9,17,17,9,9,9,9,17,17,17,17,17,17,17,2,18,73,54,18,18,18,18,19,19,19,11,10,10,10,10,30,30,10,20,10,10,10,17,17,17,17,17,17,0,0,0,0,0,0,0,0,208,8,16,8,0,0
1705774215,19,19,11,19,19,19,11,11,19,19,19,19,11,11,11,11,11,19,19,4,12,48,36,12,12,12,12,12,12,12,12,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774230,12,12,16,12,12,12,16,16,12,12,12,12,16,16,16,16,15,9,9,2,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774245,21,21,18,21,21,21,18,18,21,21,21,21,18,18,18,18,19,19,19,4,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774260,14,14,19,14,14,14,19,19,14,14,14,14,19,19,19,19,19,12,12,5,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774275,14,14,12,14,14,14,12,12,14,14,14,14,12,12,12,12,12,20,20,3,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,12,12,12,12,12,12,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774290,14,14,11,14,14,14,11,11,14,14,14,14,11,11,11,11,11,13,13,4,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774305,16,16,20,16,16,16,20,20,16,16,16,16,20,20,20,20,20,12,12,4,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,10,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774320,16,16,14,16,16,16,14,14,16,16,16,16,14,14,14,14,14,15,15,5,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774335,15,15,14,15,15,15,14,14,15,15,15,15,14,14,14,14,14,17,17,5,13,49,36,12,12,12,12,12,12,12,11,11,11,11,11,33,33,11,22,11,10,10,14,14,14,14,14,14,0,23,0,0,0,0,0,0,26,1,2,1,0,0
1705774350,22,22,17,22,22,22,17,17,22,22,22,22,17,17,17,17,17,15,15,6,19,79,60,20,20,20,20,20,20,20,10,10,10,10,10,30,30,10,20,10,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,260,10,20,10,0,0
1705774365,8,8,17,8,8,8,17,17,8,8,8,8,17,17,17,17,17,16,16,8,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,10,17,17,17,17,17,17,0,46,0,0,0,0,0,0,0,0,0,0,0,0
1705774380,14,14,12,14,14,14,12,12,14,14,14,14,12,12,12,12,12,20,20,9,16,64,48,16,16,16,16,16,16,16,16,15,15,15,15,45,45,15,30,15,10,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,71,0,2,1,1,0
1705774395,17,17,11,17,17,17,11,11,17,17,17,17,11,11,11,11,11,11,11,9,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,11,11,11,11,11,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774410,15,15,20,15,15,15,20,20,15,15,15,15,20,20,20,20,20,12,12,8,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,10,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774425,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,20,7,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,10,17,17,17,17,17,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774440,12,12,15,12,12,12,15,15,12,12,12,12,15,15,15,15,15,11,11,7,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,10,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705774455,17,17,10,17,17,17,10,10,17,17,17,17,10,10,10,10,10,18,18,8,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,10,10,10,10,10,10,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774470,16,16,19,16,16,16,19,19,16,16,16,16,19,19,19,19,19,13,13,6,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,10,19,19,19,19,19,19,0,23,0,0,0,0,0,0,0,0,0,0,0,0
1705774485,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,7,19,75,57,19,19,19,19,19,19,19,19,17,17,17,17,51,51,17,34,17,10,10,13,13,13,13,13,13,0,0,0,0,0,0,0,0,71,0,2,1,1,1
1705774500,14,14,14,13,13,13,14,14,13,13,13,13,14,14,14,14,14,17,17,5,11,44,33,11,11,11,11,11,11,11,11,12,12,12,12,36,36,12,24,12,10,10,14,14,14,14,14,14,0,23,0,0,0,0,1,0,0,0,0,0,0,0
1705774515,13,13,15,14,14,14,15,15,14,14,14,14,15,15,15,15,15,17,17,0,14,56,42,14,14,14,14,14,14,14,2,2,2,2,2,6,6,2,4,2,10,10,15,15,15,15,15,15,0,23,0,0,0,0,0,1,312,12,24,12,0,0
1705774530,18,18,13,18,18,18,13,13,18,18,18,18,13,13,13,13,13,11,11,0,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,10,10,13,13,13,13,13,13,0,23,0,0,0,0,0,0,416,16,32,16,0,0
1705774545,17,17,19,17,17,17,19,19,17,17,17,17,19,19,19,19,19,13,13,0,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,10,10,19,19,19,19,19,19,0,23,0,0,0,0,0,0,364,14,28,14,0,0
1705774560,12,12,14,12,12,12,14,14,12,12,12,12,14,14,14,14,14,18,18,0,22,88,66,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,10,10,14,14,14,14,14,14,0,23,0,0,0,0,0,0,572,22,44,22,0,0
1705774575,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,0,12,48,36,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,10,10,16,16,16,16,16,16,0,23,0,0,0,0,0,0,312,12,24,12,0,0
1705774590,11,11,12,11,11,11,12,12,11,11,11,11,12,12,12,12,12,15,15,0,13,52,39,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,10,10,12,12,12,12,12,12,0,0,0,0,0,0,0,0,338,13,26,13,0,0
1705774605,20,20,21,20,20,20,21,21,20,20,20,20,21,21,21,21,21,14,14,0,16,64,48,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,10,10,21,21,21,21,21,21,0,46,0,0,0,0,0,0,416,16,32,16,0,0
1705774620,14,14,12,14,14,14,12,12,14,14,14,14,12,12,12,12,12,13,13,0,17,68,51,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,10,10,12,12,12,12,12,12,0,23,0,0,0,0,0,0,442,17,34,17,0,0
1705774635,13,13,12,13,13,13,12,12,13,13,13,13,12,12,12,12,12,16,16,0,14,56,42,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,8,10,12,12,12,12,12,12,0,69,0,0,0,0,0,0,364,14,28,14,0,0
