time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,user_21,catalogue_22,front-end_23,front-end_24,user_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,catalogue_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,catalogue_44,front-end_45,front-end_46,front-end_47,payment_48,carts_49,user_50,user_51,user_52
1705756230,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,8,11,11,8,8,8,8,8,8,8,8,8,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,0,0,0,0
1705756245,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,20,20,18,18,18,18,18,18,18,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0
1705756260,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705756275,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,16,16,14,14,14,14,14,14,14,14,14,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,0,0
1705756290,13,52,39,13,13,13,13,12,13,13,13,13,13,13,13,39,39,13,26,13,10,19,19,15,15,15,15,15,15,15,15,15,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,1,0,0
1705756305,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,23,0,0,0
1705756320,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,14,14,17,17,17,17,17,17,17,17,17,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705756335,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,18,18,17,17,17,17,17,17,17,17,17,10,23,23,23,23,23,23,23,23,23,23,23,23,23,23,10,0,0,0,0
1705756350,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,10,10,15,15,15,15,15,15,15,15,15,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0
1705756365,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,22,22,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0,0
1705756380,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,13,13,22,22,22,22,22,22,22,22,22,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705756395,18,71,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,13,14,14,14,14,14,14,14,14,14,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,23,0,1,0
1705756410,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,28,14,10,17,17,12,12,12,12,12,12,12,12,12,10,15,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0,0
1705756425,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,38,19,10,15,15,17,17,17,17,17,17,17,17,17,10,15,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0,0
1705756440,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,20,20,20,20,20,20,20,20,20,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705756455,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,16,16,12,12,12,12,12,12,12,12,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,46,0,0,0
1705756470,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,21,21,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,46,0,0,0
1705756485,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,12,12,14,14,14,14,14,14,14,14,14,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0
1705756500,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,18,18,13,13,13,13,13,13,13,13,13,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705756515,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,11,11,20,20,20,20,20,20,20,20,20,10,16,16,16,16,16,16,16,15,15,15,15,15,15,15,10,23,0,0,0
1705756530,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,15,15,15,15,15,15,15,15,15,10,14,14,14,14,14,14,14,15,15,15,15,15,15,15,10,23,0,0,0
1705756545,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,15,15,15,15,15,15,15,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,46,0,0,0
1705756560,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,13,13,13,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0
1705756575,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,18,18,18,18,18,18,18,18,18,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0
1705756590,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,12,12,14,14,14,14,14,14,14,14,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705756605,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,17,17,15,15,15,15,15,15,15,15,15,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705756620,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,12,12,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705756635,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,17,17,12,12,12,12,12,12,12,12,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,46,0,0,0
1705756650,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705756665,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,13,13,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0,0,0
1705756680,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,18,18,15,15,15,15,15,15,15,15,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705756695,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,17,17,17,17,17,17,17,17,17,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,69,0,0,0
1705756710,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,18,18,12,12,12,12,12,12,12,12,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705756725,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,20,20,20,20,20,20,20,20,20,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,23,0,0,0
1705756740,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0,0
1705756755,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,18,18,14,14,14,14,14,14,14,14,14,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,23,0,0,0
1705756770,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,11,11,17,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705756785,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,13,14,14,14,14,14,14,14,14,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,0,0,0,0
1705756800,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,17,17,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705756815,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,9,9,15,15,15,15,15,15,15,15,15,10,19,19,19,19,19,19,19,19,19,18,18,18,18,18,10,0,0,0,0
1705756830,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,21,21,16,16,16,16,16,16,16,16,16,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,0,0,0,0
1705756845,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,16,16,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0
1705756860,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,18,18,18,18,18,18,18,18,18,10,15,15,15,15,15,15,14,14,14,14,14,14,14,14,10,23,0,0,0
1705756875,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,23,0,0,0
1705756890,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,15,15,15,15,15,15,15,15,15,10,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,0,0,0,0
1705756905,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,16,16,16,16,16,16,16,17,10,23,0,0,0
1705756920,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,15,15,16,16,16,16,16,16,16,16,16,10,12,12,12,12,12,12,13,13,13,13,13,13,13,13,10,23,0,0,0
1705756935,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,17,17,13,13,13,13,13,13,13,13,13,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0
1705756950,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,13,13,19,19,19,19,19,19,19,19,19,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,23,0,0,0
1705756965,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,14,14,14,14,14,14,14,14,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705756980,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,14,14,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705756995,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,18,18,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0
1705757010,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,15,15,15,15,15,15,15,15,15,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,23,0,0,0
1705757025,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,21,21,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,0,0,0,0
1705757040,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,16,16,16,16,16,16,16,16,16,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,0,0,0,0
1705757055,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,18,18,18,18,18,18,18,18,18,10,15,15,15,15,15,15,15,15,15,15,15,15,15,14,10,0,0,0,0
1705757070,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,14,14,12,12,12,12,12,12,12,12,12,10,17,17,17,17,17,17,17,17,17,17,17,17,17,18,10,0,0,0,0
1705757085,18,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,19,19,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,23,0,0,0
1705757100,15,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,13,13,16,16,16,16,16,16,16,16,16,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705757115,15,60,45,15,15,15,15,15,15,15,15,14,14,14,14,42,42,14,28,14,10,14,14,11,11,11,11,11,11,11,11,11,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705757130,14,56,42,14,14,14,14,14,14,14,14,15,15,15,15,45,45,15,30,15,10,15,15,18,18,18,18,18,18,18,18,18,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0,0,0
1705757145,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,15,15,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0,0,0
1705757160,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,15,15,10,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705757175,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,17,17,17,17,17,17,17,17,17,17,17,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,23,0,0,0
1705757190,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,15,15,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,19,19,19,19,19,19,19,19,10,23,0,0,0
1705757205,23,92,69,23,23,23,23,23,23,23,23,23,23,23,23,69,69,23,46,23,10,12,12,12,12,12,12,12,12,12,12,12,10,17,17,17,17,17,17,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757220,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,19,19,13,13,13,13,13,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0
1705757235,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,11,11,11,11,11,12,12,12,12,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,0
1705757250,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,23,0,0,0
1705757265,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705757280,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,20,20,14,14,14,14,14,14,14,14,14,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,0,0,0,0
1705757295,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,11,11,18,18,18,18,18,18,18,18,18,10,21,21,21,21,21,21,21,21,21,21,21,21,21,20,10,0,0,0,0
1705757310,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,12,12,17,17,17,17,17,17,17,17,17,10,14,14,14,14,14,14,14,14,14,14,14,14,14,15,10,0,0,0,0
1705757325,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,22,22,12,12,12,12,12,12,12,12,12,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705757340,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,18,18,18,18,18,18,18,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,0,0,0,0
1705757355,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,21,21,21,21,21,21,21,21,21,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,23,0,0,0
1705757370,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,17,17,9,9,9,9,9,9,9,9,9,10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,0,0,0,0
1705757385,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,21,21,17,17,17,17,17,17,17,17,17,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,23,0,0,0
1705757400,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,12,12,17,17,17,17,17,16,16,16,16,10,22,22,22,22,22,22,22,21,21,21,21,21,21,21,10,0,0,0,0
1705757415,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,10,10,10,10,10,11,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,10,0,0,0,0
1705757430,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705757445,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,12,12,21,21,21,21,21,21,21,21,21,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757460,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,14,14,9,9,9,9,9,9,9,9,9,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,23,0,0,0
1705757475,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,23,0,0,0
1705757490,9,36,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,10,13,13,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757505,24,96,72,24,24,24,24,24,24,24,24,24,24,24,24,72,72,24,48,24,10,15,15,16,16,16,16,16,16,16,16,16,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,23,0,0,0
1705757520,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,16,16,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0
1705757535,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,10,16,16,16,16,16,16,16,16,16,16,16,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,69,0,0,0
1705757550,21,84,63,21,21,21,21,21,21,21,21,21,21,21,21,63,63,21,42,21,10,14,14,20,20,20,20,20,20,20,20,20,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,0,0,0,0
1705757565,16,61,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,14,14,14,14,14,14,14,14,14,14,14,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,69,0,0,0
1705757580,13,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,19,19,12,12,12,12,12,12,12,12,12,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,46,0,0,0
1705757595,15,60,45,15,15,15,15,15,14,15,15,15,15,15,15,45,45,15,30,15,10,15,15,17,17,17,17,17,17,17,17,17,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,0,0,0,1
1705757610,15,60,45,15,15,15,15,15,15,15,15,14,14,14,14,42,42,14,28,14,10,11,11,11,11,11,11,11,11,11,11,11,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,0,0,0,0
1705757625,14,56,42,14,14,14,14,14,14,14,14,15,15,15,15,45,45,15,30,15,10,18,18,17,17,17,17,17,17,17,17,17,10,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,0,0,0,0
1705757640,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,11,11,14,14,14,14,14,14,14,14,14,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,0,0,0,0
1705757655,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,20,20,17,17,17,17,17,17,17,17,17,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,0,0,0,0
1705757670,3,12,9,3,3,3,3,3,3,3,3,3,3,3,3,9,9,3,6,3,2,2,2,9,9,9,9,9,9,9,9,9,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0
