time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,front-end_21,user_22,front-end_23,front-end_24,front-end_25,front-end_26,front-end_27,front-end_28,front-end_29,front-end_30,user_31,front-end_32,front-end_33,user_34,front-end_35,catalogue_36,front-end_37,front-end_38,front-end_39,front-end_40,catalogue_41,front-end_42,front-end_43,front-end_44,payment_45,catalogue_46,front-end_47,user_48,carts_49,user_50,user_51,user-db_52,user_53
1705791510,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,8,13,13,8,0,0,0,0,0
1705791525,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,10,13,13,10,0,0,0,0,0
1705791540,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,18,18,10,0,0,0,0,0
1705791555,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,10,17,17,10,0,0,0,0,0
1705791570,11,41,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,10,15,15,10,46,0,0,0,0
1705791585,19,79,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,10,12,12,10,69,0,0,0,0
1705791600,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,21,21,10,0,0,0,0,0
1705791615,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,11,11,11,11,11,11,10,11,11,11,11,11,11,11,10,10,14,14,10,69,0,0,0,0
1705791630,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,10,21,21,21,21,21,21,21,22,10,15,15,10,23,0,0,0,0
1705791645,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,16,16,16,16,16,16,16,16,16,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,16,16,10,0,0,0,0,0
1705791660,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,16,16,10,0,0,0,0,0
1705791675,17,68,51,17,17,17,17,17,17,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,17,17,10,0,0,0,0,0
1705791690,11,44,33,11,11,11,11,11,11,12,12,12,12,12,12,36,36,12,24,12,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,15,15,10,0,0,0,0,0
1705791705,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,12,12,10,69,0,0,0,0
1705791720,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,16,16,10,0,0,0,0,0
1705791735,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,18,18,10,0,0,0,0,0
1705791750,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,18,18,10,23,0,0,0,0
1705791765,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,17,17,10,0,0,0,0,0
1705791780,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,21,21,21,21,21,21,10,21,21,21,21,21,21,21,21,10,11,11,10,0,0,0,0,0
1705791795,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,21,21,10,0,0,0,0,0
1705791810,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,17,17,10,0,0,0,0,0
1705791825,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,10,10,10,0,0,0,0,0
1705791840,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,16,16,10,0,0,0,0,0
1705791855,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,15,15,10,0,0,0,0,0
1705791870,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,19,19,19,19,19,19,19,19,19,13,13,13,12,12,12,10,12,12,12,12,12,12,12,12,10,17,17,10,23,0,0,0,0
1705791885,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,16,16,16,16,16,16,16,16,16,19,19,19,20,20,20,10,20,20,20,20,20,20,20,20,10,16,16,10,23,0,0,0,0
1705791900,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,14,14,10,23,0,0,0,0
1705791915,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,19,19,9,0,1,0,0,0
1705791930,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,10,10,10,10,10,10,10,10,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,17,17,10,23,0,0,0,0
1705791945,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,24,24,24,24,24,24,24,24,24,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,12,12,10,23,0,0,0,0
1705791960,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,15,15,10,23,0,0,0,0
1705791975,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,16,16,10,0,0,0,0,0
1705791990,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,17,17,10,0,0,0,0,0
1705792005,14,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,10,10,10,23,0,1,0,0
1705792020,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,23,23,10,23,0,0,0,0
1705792035,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,13,13,10,23,0,0,0,0
1705792050,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,13,13,13,13,14,14,14,14,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,14,14,10,23,0,0,0,0
1705792065,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,18,18,10,0,0,0,0,0
1705792080,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,13,13,13,13,13,13,10,13,13,13,13,13,13,13,13,10,14,14,10,23,0,0,0,0
1705792095,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,10,14,14,10,0,0,0,0,0
1705792110,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,17,17,10,23,0,0,0,0
1705792125,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,14,14,14,14,14,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,10,23,0,0,0,0
1705792140,10,40,30,10,10,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,16,16,16,16,16,17,17,17,17,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,16,16,10,23,0,0,0,0
1705792155,21,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,10,17,17,17,17,17,17,17,17,10,11,11,10,0,0,0,0,0
1705792170,13,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,18,18,18,18,18,18,18,18,18,15,15,15,15,15,15,10,15,15,15,15,15,15,15,15,10,19,19,10,0,0,0,0,0
1705792185,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,15,15,10,0,0,0,0,0
1705792200,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,10,18,18,18,18,18,18,18,18,10,14,14,10,0,0,0,0,0
1705792215,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,16,16,10,0,0,0,0,0
1705792230,12,48,36,12,12,12,12,12,12,10,10,10,10,10,10,30,30,10,20,10,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,10,15,15,15,15,15,15,15,15,10,13,13,10,0,0,0,6,0
1705792245,15,58,45,15,15,15,15,13,13,13,13,13,13,13,13,39,39,13,26,13,15,15,15,15,15,15,15,15,15,15,13,13,13,12,12,10,12,12,12,12,12,12,12,12,10,13,13,10,0,0,0,0,0
1705792260,13,50,35,13,13,11,11,13,13,15,15,15,15,15,15,45,45,15,30,15,14,13,13,13,13,13,13,13,13,13,15,14,14,15,15,10,15,15,15,15,15,15,15,15,10,13,13,10,0,0,0,0,0
1705792275,12,49,37,11,11,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,21,22,22,22,22,21,21,21,21,16,15,16,16,15,14,10,14,14,14,14,14,14,14,14,10,15,15,10,46,0,0,0,0
1705792290,18,75,57,19,19,19,19,19,19,18,18,18,18,18,18,54,54,18,36,18,10,10,10,10,10,11,11,11,11,15,15,14,14,15,16,10,16,16,16,16,16,16,16,16,10,14,14,10,23,0,0,0,0
1705792305,14,52,39,13,13,13,13,13,13,14,14,14,14,13,13,39,39,13,26,13,14,14,14,14,14,14,14,14,14,13,14,15,15,15,15,10,14,14,14,14,14,14,14,14,10,15,15,10,23,0,0,0,0
1705792320,13,55,42,14,14,14,14,13,13,13,13,13,13,14,14,42,42,14,28,14,16,16,16,16,16,16,16,16,16,15,15,14,14,14,14,10,15,15,15,15,15,15,15,15,10,14,14,10,23,0,0,0,0
1705792335,18,67,45,17,17,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,11,11,12,12,11,11,10,11,11,11,11,11,11,11,11,10,16,16,10,23,0,0,0,0
1705792350,9,42,36,10,10,13,13,13,13,11,11,11,11,11,11,33,33,11,22,11,12,12,12,12,12,12,12,12,12,18,17,17,17,18,18,10,18,18,18,18,18,18,18,18,10,17,17,10,0,0,0,0,0
1705792365,17,65,48,16,16,16,16,16,16,17,17,17,17,17,17,51,51,17,34,17,19,18,18,18,18,18,18,18,18,11,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10,6,6,10,23,0,0,0,0
1705792380,14,43,32,12,12,10,10,10,10,10,10,10,9,9,9,27,27,9,18,9,12,13,12,12,12,12,12,12,12,16,16,16,16,16,16,10,16,16,16,16,16,16,16,16,10,17,17,10,23,0,0,0,0
1705792395,16,79,59,19,19,20,20,20,20,20,20,20,21,21,21,63,63,21,42,21,15,14,15,15,15,15,15,15,15,15,14,14,14,13,13,10,13,13,13,13,13,13,13,13,10,15,15,10,0,0,0,0,0
1705792410,11,41,30,10,10,10,10,10,10,11,11,11,11,11,11,33,33,11,22,11,10,11,11,11,11,11,11,11,11,12,13,13,13,14,14,10,14,14,14,14,14,14,14,14,10,16,16,10,23,0,0,0,0
1705792425,13,56,44,14,14,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,17,17,17,17,17,17,17,17,17,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,15,15,10,23,0,0,0,0
1705792440,15,52,41,15,15,13,13,12,12,12,12,12,12,12,12,36,36,12,24,12,16,15,15,15,15,15,15,15,15,17,17,17,17,19,19,10,19,19,19,19,19,19,19,19,10,10,10,10,0,0,0,0,1
1705792455,18,75,53,17,17,18,18,19,19,19,19,19,19,19,19,57,57,19,38,19,14,14,14,14,14,14,14,14,14,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,10,13,13,10,69,0,0,0,0
1705792470,7,29,23,7,7,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,16,17,17,17,17,17,17,17,17,22,21,21,21,20,20,10,20,20,20,20,20,20,20,20,10,19,19,10,46,0,0,0,0
1705792485,20,82,61,21,21,20,20,20,20,18,18,18,18,18,18,54,54,18,36,18,14,14,14,14,14,14,14,14,14,14,15,15,15,14,14,10,14,14,14,14,14,14,14,14,10,9,9,10,23,0,0,0,0
1705792500,13,53,41,13,13,14,14,14,14,16,16,16,16,16,16,48,48,16,32,16,12,12,12,12,12,12,12,12,12,13,13,13,13,15,14,10,14,14,14,14,14,14,14,14,10,19,19,10,23,0,0,0,0
1705792515,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,18,18,18,18,16,16,16,16,16,17,10,17,17,17,17,17,17,17,17,10,15,15,10,0,0,0,0,0
1705792530,12,48,36,12,12,12,12,12,12,11,11,11,11,11,11,33,33,11,22,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,12,12,10,23,0,0,0,0
1705792545,22,75,53,19,19,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,12,12,11,11,11,11,11,11,11,17,16,15,15,15,15,10,15,15,15,15,15,15,15,15,10,11,11,10,23,0,0,0,0
1705792560,12,55,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,14,14,15,15,15,15,15,15,15,10,10,11,11,11,11,10,11,11,11,10,10,10,10,10,10,22,22,10,0,0,0,0,0
1705792575,10,44,35,11,11,12,12,11,11,11,11,11,11,11,11,33,33,11,22,11,15,15,15,15,15,15,15,15,15,16,17,16,16,15,15,10,15,15,15,16,16,16,16,16,10,14,14,10,0,0,0,0,0
1705792590,15,61,45,15,15,15,15,16,16,14,14,14,14,14,14,40,40,13,26,13,15,15,15,15,15,15,15,15,15,18,16,17,17,18,18,10,18,18,18,18,18,18,18,18,10,9,9,10,23,0,0,0,0
1705792605,18,70,53,17,17,18,18,18,18,19,19,19,19,19,19,59,59,20,40,20,15,14,13,13,13,13,13,13,13,7,9,9,9,9,9,10,9,9,9,9,9,9,9,9,10,18,18,10,23,0,0,0,0
1705792620,10,37,27,9,9,9,9,9,9,10,10,10,10,10,10,30,30,10,20,10,10,11,12,12,12,11,11,11,11,14,14,14,14,14,14,10,14,14,14,14,14,14,14,14,10,15,15,10,0,0,0,0,0
1705792635,13,58,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,18,18,18,18,18,19,19,19,19,19,19,19,19,18,18,10,18,18,18,18,18,18,18,18,10,11,11,10,0,0,0,0,0
1705792650,18,66,48,16,16,16,16,16,16,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,12,12,11,11,12,12,10,12,12,12,12,12,12,12,12,10,11,11,10,23,0,0,0,0
1705792665,13,55,41,15,15,13,13,12,12,14,14,14,14,14,14,42,42,14,28,14,13,13,13,13,13,13,13,13,13,18,17,18,18,18,17,10,17,16,16,16,16,16,16,16,10,20,20,10,23,0,0,0,0
1705792680,16,63,48,16,16,16,16,17,17,17,17,17,17,17,17,51,51,17,34,17,12,12,12,12,12,12,12,12,12,8,9,9,9,9,10,10,10,11,11,11,11,11,11,11,10,13,13,10,0,0,0,0,0
1705792695,11,40,28,10,10,9,9,9,9,9,9,9,9,9,9,27,27,9,18,9,14,14,14,14,14,14,14,14,14,13,13,13,13,12,11,10,11,11,11,11,11,11,11,11,10,15,15,10,0,0,0,0,0
1705792710,11,51,40,12,12,14,14,14,14,13,13,13,13,13,13,39,39,13,26,13,17,17,17,17,17,17,17,17,17,19,19,19,19,20,20,10,20,20,20,20,20,20,20,20,10,11,11,10,23,0,0,0,0
1705792725,18,65,48,16,16,16,16,15,15,16,16,16,16,16,16,48,48,16,32,16,13,13,13,13,13,13,13,13,13,14,14,14,14,13,14,10,14,14,14,14,14,14,14,14,10,11,11,10,23,0,0,0,0
1705792740,15,68,53,17,17,18,18,19,19,19,19,19,19,19,19,57,57,19,38,19,13,13,12,12,12,12,12,12,12,11,10,10,10,11,11,10,11,11,11,11,11,11,11,11,10,17,17,10,0,0,0,0,0
1705792755,9,31,24,8,8,8,8,7,7,7,7,7,7,7,7,21,21,7,14,7,17,16,17,17,17,17,17,17,17,14,15,14,14,14,14,10,14,14,14,14,14,14,14,14,10,16,16,10,0,0,0,0,0
1705792770,17,69,52,18,18,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,13,14,14,14,14,13,13,13,13,17,17,18,18,18,18,10,18,18,18,18,18,18,18,18,10,9,9,10,23,0,0,0,0
1705792785,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,11,11,10,10,10,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,10,20,20,10,0,0,0,0,0
1705792800,11,41,29,9,9,10,10,10,10,10,10,10,10,10,10,30,30,10,20,10,15,14,15,15,15,15,15,15,15,14,14,14,14,13,13,10,13,13,13,13,13,13,13,13,10,13,13,10,0,0,0,0,0
1705792815,13,58,43,15,15,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,16,17,17,17,17,17,17,17,17,16,15,15,15,16,16,10,16,16,16,16,16,16,16,16,10,13,13,10,23,0,0,0,0
1705792830,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,17,17,17,17,17,17,17,17,17,16,17,17,17,16,16,10,16,16,16,16,16,16,16,16,10,13,13,10,23,0,0,0,0
1705792845,15,60,45,15,15,15,15,15,15,14,14,14,14,14,14,42,42,14,28,14,8,8,7,7,7,7,7,7,7,13,13,13,13,14,14,10,14,14,14,14,14,14,14,14,10,14,14,10,23,0,0,0,0
1705792860,16,63,48,16,16,16,16,15,15,16,16,16,16,16,16,48,48,16,32,16,16,15,16,16,16,16,16,16,16,9,9,8,8,8,8,10,8,8,8,8,8,8,8,8,10,16,16,10,0,0,0,0,0
1705792875,10,34,22,8,8,7,7,8,8,5,5,5,5,5,5,15,15,5,10,5,12,13,13,13,13,12,12,12,12,16,16,17,17,17,17,10,17,17,17,17,17,17,17,17,10,15,15,10,0,0,0,0,0
1705792890,15,62,49,15,15,17,17,17,17,18,18,18,18,18,18,54,54,18,36,18,16,16,16,16,16,17,17,17,17,13,13,13,13,13,11,10,11,11,11,11,11,11,11,11,10,11,11,10,23,0,0,0,0
1705792905,11,47,36,12,12,12,12,12,12,14,14,14,14,14,14,42,42,14,28,14,13,13,12,12,12,12,12,12,12,16,16,16,16,16,18,10,17,17,17,17,17,17,17,17,10,14,14,10,0,0,0,0,0
1705792920,15,63,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,19,19,20,20,20,20,20,20,20,15,15,15,15,14,14,10,15,15,15,15,15,15,15,15,10,14,14,10,0,0,0,0,0
1705792935,18,65,46,16,16,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,11,11,11,11,11,11,11,11,11,14,13,13,13,14,14,10,14,14,14,14,14,14,14,14,10,13,13,10,23,0,0,0,0
1705792950,3,16,15,5,5,5,5,3,3,2,2,2,2,2,2,6,6,2,4,2,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,0,1,1,1,1,1,1,1,1,2,1,1,2,0,0,0,0,0
